date,usd_mxn_spot,usd_return_1d,usd_return_5d,us_policy_rate,mx_policy_rate,rate_differential,carry_proxy,volatility_20d,volatility_regime,spread_proxy_bps,event_flag,event_description,holiday_flag,holiday_description,liquidity_proxy,remittance_cost_proxy,data_mode,source_lineage
2024-01-02,17.0414,,,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-03,17.0467,0.000311,,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-04,17.0412,-0.000323,,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-05,17.0549,0.000804,,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-08,17.0588,0.000229,,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-09,17.0593,0.000029,0.001050,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-10,17.0596,0.000018,0.000757,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-11,17.0745,0.000873,0.001954,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-12,17.0850,0.000615,0.001765,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-15,17.0920,0.000410,0.001946,5.25,11.25,6.00,6.00,,unknown,280.00,false,,false,,,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-16,17.1104,0.001077,0.002995,5.25,11.25,6.00,6.00,0.009213,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-17,17.1259,0.000906,0.003886,5.25,11.25,6.00,6.00,0.009796,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-18,17.1590,0.001933,0.004949,5.25,11.25,6.00,6.00,0.012900,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-19,17.1662,0.000420,0.004753,5.25,11.25,6.00,6.00,0.012531,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-22,17.1722,0.000350,0.004692,5.25,11.25,6.00,6.00,0.012166,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-23,17.1767,0.000262,0.003875,5.25,11.25,6.00,6.00,0.011802,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-24,17.2088,0.001869,0.004841,5.25,11.25,6.00,6.00,0.013623,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-25,17.2407,0.001854,0.004761,5.25,11.25,6.00,6.00,0.015020,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-26,17.2417,0.000058,0.004398,5.25,11.25,6.00,6.00,0.014599,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-29,17.2595,0.001032,0.005084,5.25,11.25,6.00,6.00,0.014699,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-30,17.2703,0.000626,0.005449,5.25,11.25,6.00,6.00,0.014498,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-01-31,17.2864,0.000932,0.004509,5.25,11.25,6.00,6.00,0.014829,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-02-01,17.2869,0.000029,0.002680,5.25,11.25,6.00,6.00,0.014785,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-02-02,17.2988,0.000688,0.003312,5.25,11.25,6.00,6.00,0.014712,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-02-05,17.2960,-0.000162,0.002115,5.25,11.25,6.00,6.00,0.014701,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-02-06,17.2820,-0.000809,0.000677,5.25,11.25,6.00,6.00,0.014978,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-02-07,17.2805,-0.000087,-0.000341,5.25,11.25,6.00,6.00,0.014981,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-02-08,17.2792,-0.000075,-0.000445,5.25,11.25,6.00,6.00,0.014660,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-02-09,17.2583,-0.001210,-0.002341,5.25,11.25,6.00,6.00,0.015119,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
2024-02-12,17.2598,0.000087,-0.002093,5.25,11.25,6.00,6.00,0.015052,low,280.00,false,,false,,0.0000,0.0480,synthetic,sample_raw_v1|fx+fed+banxico+events+holidays+remit_cost
