date,institution,event_type,event_flag
2024-01-31,Fed,FOMC,True
2024-03-20,Fed,FOMC,True
2024-05-01,Fed,FOMC,True
2024-06-12,Fed,FOMC,True
2024-07-31,Fed,FOMC,True
2024-09-18,Fed,FOMC,True
2024-11-07,Fed,FOMC,True
2024-12-18,Fed,FOMC,True
2024-02-08,Banxico,monetary_policy,True
2024-03-21,Banxico,monetary_policy,True
2024-05-09,Banxico,monetary_policy,True
2024-06-27,Banxico,monetary_policy,True
2024-08-01,Banxico,monetary_policy,True
2024-09-26,Banxico,monetary_policy,True
2024-11-14,Banxico,monetary_policy,True
2024-12-19,Banxico,monetary_policy,True
2025-01-29,Fed,FOMC,True
2025-03-19,Fed,FOMC,True
2025-05-07,Fed,FOMC,True
2025-06-18,Fed,FOMC,True
2025-07-30,Fed,FOMC,True
2025-09-17,Fed,FOMC,True
2025-11-05,Fed,FOMC,True
2025-12-17,Fed,FOMC,True
2025-02-06,Banxico,monetary_policy,True
2025-03-27,Banxico,monetary_policy,True
2025-05-15,Banxico,monetary_policy,True
2025-06-26,Banxico,monetary_policy,True
2025-08-07,Banxico,monetary_policy,True
2025-09-25,Banxico,monetary_policy,True
2025-11-06,Banxico,monetary_policy,True
2025-12-18,Banxico,monetary_policy,True
2026-01-28,Fed,FOMC,True
2026-03-18,Fed,FOMC,True
2026-04-29,Fed,FOMC,True
2026-06-17,Fed,FOMC,True
2026-07-29,Fed,FOMC,True
2026-09-16,Fed,FOMC,True
2026-11-04,Fed,FOMC,True
2026-12-16,Fed,FOMC,True
2026-02-05,Banxico,monetary_policy,True
2026-03-26,Banxico,monetary_policy,True
2026-05-14,Banxico,monetary_policy,True
2026-06-25,Banxico,monetary_policy,True
2026-08-06,Banxico,monetary_policy,True
2026-09-24,Banxico,monetary_policy,True
2026-11-05,Banxico,monetary_policy,True
2026-12-17,Banxico,monetary_policy,True
