date,usd_mxn_spot,data_mode,source
2024-01-02,17.0414,synthetic,sample_generator_v1
2024-01-03,17.0467,synthetic,sample_generator_v1
2024-01-04,17.0412,synthetic,sample_generator_v1
2024-01-05,17.0549,synthetic,sample_generator_v1
2024-01-08,17.0588,synthetic,sample_generator_v1
2024-01-09,17.0593,synthetic,sample_generator_v1
2024-01-10,17.0596,synthetic,sample_generator_v1
2024-01-11,17.0745,synthetic,sample_generator_v1
2024-01-12,17.0850,synthetic,sample_generator_v1
2024-01-15,17.0920,synthetic,sample_generator_v1
2024-01-16,17.1104,synthetic,sample_generator_v1
2024-01-17,17.1259,synthetic,sample_generator_v1
2024-01-18,17.1590,synthetic,sample_generator_v1
2024-01-19,17.1662,synthetic,sample_generator_v1
2024-01-22,17.1722,synthetic,sample_generator_v1
2024-01-23,17.1767,synthetic,sample_generator_v1
2024-01-24,17.2088,synthetic,sample_generator_v1
2024-01-25,17.2407,synthetic,sample_generator_v1
2024-01-26,17.2417,synthetic,sample_generator_v1
2024-01-29,17.2595,synthetic,sample_generator_v1
2024-01-30,17.2703,synthetic,sample_generator_v1
2024-01-31,17.2864,synthetic,sample_generator_v1
2024-02-01,17.2869,synthetic,sample_generator_v1
2024-02-02,17.2988,synthetic,sample_generator_v1
2024-02-05,17.2960,synthetic,sample_generator_v1
2024-02-06,17.2820,synthetic,sample_generator_v1
2024-02-07,17.2805,synthetic,sample_generator_v1
2024-02-08,17.2792,synthetic,sample_generator_v1
2024-02-09,17.2583,synthetic,sample_generator_v1
2024-02-12,17.2598,synthetic,sample_generator_v1
2024-02-13,17.2535,synthetic,sample_generator_v1
2024-02-14,17.2421,synthetic,sample_generator_v1
2024-02-15,17.2224,synthetic,sample_generator_v1
2024-02-16,17.1957,synthetic,sample_generator_v1
2024-02-19,17.1701,synthetic,sample_generator_v1
2024-02-20,17.1601,synthetic,sample_generator_v1
2024-02-21,17.1346,synthetic,sample_generator_v1
2024-02-22,17.1181,synthetic,sample_generator_v1
2024-02-23,17.0876,synthetic,sample_generator_v1
2024-02-26,17.0738,synthetic,sample_generator_v1
2024-02-27,17.0418,synthetic,sample_generator_v1
2024-02-28,17.0314,synthetic,sample_generator_v1
2024-02-29,17.0088,synthetic,sample_generator_v1
2024-03-01,16.9891,synthetic,sample_generator_v1
2024-03-04,16.9775,synthetic,sample_generator_v1
2024-03-05,16.9755,synthetic,sample_generator_v1
2024-03-06,16.9591,synthetic,sample_generator_v1
2024-03-07,16.9547,synthetic,sample_generator_v1
2024-03-08,16.9394,synthetic,sample_generator_v1
2024-03-11,16.9255,synthetic,sample_generator_v1
2024-03-12,16.9335,synthetic,sample_generator_v1
2024-03-13,16.9451,synthetic,sample_generator_v1
2024-03-14,16.9359,synthetic,sample_generator_v1
2024-03-15,16.9450,synthetic,sample_generator_v1
2024-03-18,16.9632,synthetic,sample_generator_v1
2024-03-19,16.9794,synthetic,sample_generator_v1
2024-03-20,16.9811,synthetic,sample_generator_v1
2024-03-21,17.0030,synthetic,sample_generator_v1
2024-03-22,17.0311,synthetic,sample_generator_v1
2024-03-25,17.0546,synthetic,sample_generator_v1
2024-03-26,17.0650,synthetic,sample_generator_v1
2024-03-27,17.0991,synthetic,sample_generator_v1
2024-03-28,17.1183,synthetic,sample_generator_v1
2024-03-29,17.1524,synthetic,sample_generator_v1
2024-04-01,17.1614,synthetic,sample_generator_v1
2024-04-02,17.1680,synthetic,sample_generator_v1
2024-04-03,17.1859,synthetic,sample_generator_v1
2024-04-04,17.1957,synthetic,sample_generator_v1
2024-04-05,17.2198,synthetic,sample_generator_v1
2024-04-08,17.2486,synthetic,sample_generator_v1
2024-04-09,17.2641,synthetic,sample_generator_v1
2024-04-10,17.2795,synthetic,sample_generator_v1
2024-04-11,17.2778,synthetic,sample_generator_v1
2024-04-12,17.2926,synthetic,sample_generator_v1
2024-04-15,17.3064,synthetic,sample_generator_v1
2024-04-16,17.3030,synthetic,sample_generator_v1
2024-04-17,17.2865,synthetic,sample_generator_v1
2024-04-18,17.2859,synthetic,sample_generator_v1
2024-04-19,17.2843,synthetic,sample_generator_v1
2024-04-22,17.2640,synthetic,sample_generator_v1
2024-04-23,17.2520,synthetic,sample_generator_v1
2024-04-24,17.2406,synthetic,sample_generator_v1
2024-04-25,17.2208,synthetic,sample_generator_v1
2024-04-26,17.2113,synthetic,sample_generator_v1
2024-04-29,17.2046,synthetic,sample_generator_v1
2024-04-30,17.1775,synthetic,sample_generator_v1
2024-05-01,17.1494,synthetic,sample_generator_v1
2024-05-02,17.1197,synthetic,sample_generator_v1
2024-05-03,17.1035,synthetic,sample_generator_v1
2024-05-06,17.0770,synthetic,sample_generator_v1
2024-05-07,17.0679,synthetic,sample_generator_v1
2024-05-08,17.0445,synthetic,sample_generator_v1
2024-05-09,17.0313,synthetic,sample_generator_v1
2024-05-10,17.0064,synthetic,sample_generator_v1
2024-05-13,16.9916,synthetic,sample_generator_v1
2024-05-14,16.9841,synthetic,sample_generator_v1
2024-05-15,16.9793,synthetic,sample_generator_v1
2024-05-16,16.9559,synthetic,sample_generator_v1
2024-05-17,16.9440,synthetic,sample_generator_v1
2024-05-20,16.9474,synthetic,sample_generator_v1
2024-05-21,16.9599,synthetic,sample_generator_v1
2024-05-22,16.9704,synthetic,sample_generator_v1
2024-05-23,16.9818,synthetic,sample_generator_v1
2024-05-24,16.9996,synthetic,sample_generator_v1
2024-05-27,16.9945,synthetic,sample_generator_v1
2024-05-28,17.0119,synthetic,sample_generator_v1
2024-05-29,17.0279,synthetic,sample_generator_v1
2024-05-30,17.0544,synthetic,sample_generator_v1
2024-05-31,17.0710,synthetic,sample_generator_v1
2024-06-03,17.0761,synthetic,sample_generator_v1
2024-06-04,17.0803,synthetic,sample_generator_v1
2024-06-05,17.0950,synthetic,sample_generator_v1
2024-06-06,17.1158,synthetic,sample_generator_v1
2024-06-07,17.1418,synthetic,sample_generator_v1
2024-06-10,17.1762,synthetic,sample_generator_v1
2024-06-11,17.2067,synthetic,sample_generator_v1
2024-06-12,17.2235,synthetic,sample_generator_v1
2024-06-13,17.2457,synthetic,sample_generator_v1
2024-06-14,17.2759,synthetic,sample_generator_v1
2024-06-17,17.2793,synthetic,sample_generator_v1
2024-06-18,17.2872,synthetic,sample_generator_v1
2024-06-19,17.2859,synthetic,sample_generator_v1
2024-06-20,17.2879,synthetic,sample_generator_v1
2024-06-21,17.2981,synthetic,sample_generator_v1
2024-06-24,17.2998,synthetic,sample_generator_v1
2024-06-25,17.3121,synthetic,sample_generator_v1
2024-06-26,17.3128,synthetic,sample_generator_v1
2024-06-27,17.2974,synthetic,sample_generator_v1
2024-06-28,17.2799,synthetic,sample_generator_v1
2024-07-01,17.2618,synthetic,sample_generator_v1
