month,remittance_usd_millions,source,methodology_version
2024-01,4575,Banxico starter series (research),us_mx_corridor_v1
2024-02,4510,Banxico starter series (research),us_mx_corridor_v1
2024-03,5120,Banxico starter series (research),us_mx_corridor_v1
2024-04,5422,Banxico starter series (research),us_mx_corridor_v1
2024-05,5624,Banxico starter series (research),us_mx_corridor_v1
2024-06,5578,Banxico starter series (research),us_mx_corridor_v1
2024-07,5614,Banxico starter series (research),us_mx_corridor_v1
2024-08,5579,Banxico starter series (research),us_mx_corridor_v1
2024-09,5360,Banxico starter series (research),us_mx_corridor_v1
2024-10,5723,Banxico starter series (research),us_mx_corridor_v1
2024-11,5489,Banxico starter series (research),us_mx_corridor_v1
2024-12,5228,Banxico starter series (research),us_mx_corridor_v1
2025-01,4761,Banxico starter series (research),us_mx_corridor_v1
2025-02,4459,Banxico starter series (research),us_mx_corridor_v1
2025-03,5145,Banxico starter series (research),us_mx_corridor_v1
2025-04,5130,Banxico starter series (research),us_mx_corridor_v1
2025-05,5360,Banxico starter series (research),us_mx_corridor_v1
2025-06,5201,Banxico starter series (research),us_mx_corridor_v1
2025-07,5330,Banxico starter series (research),us_mx_corridor_v1
2025-08,5085,Banxico starter series (research),us_mx_corridor_v1
2025-09,5050,Banxico starter series (research),us_mx_corridor_v1
2025-10,5070,Banxico starter series (research),us_mx_corridor_v1
2025-11,5060,Banxico starter series (research),us_mx_corridor_v1
