date,year,quarter,country,currency,inflation_yoy,policy_rate,gdp_growth,current_account_gdp,reserves_months_imports,external_debt_gdp,remittances_gdp,imports_gdp,trade_openness,unemployment,source
2022-01-01,2022,2022Q1,Mexico,MXN,0.045,0.11,0.025,-0.01,4.5,0.35,0.038,0.42,0.62,0.03,imf_weo_curated
2022-01-01,2022,2022Q1,India,INR,0.055,0.065,0.07,-0.02,8.0,0.55,0.032,0.38,0.5800000000000001,0.07,imf_weo_curated
2022-01-01,2022,2022Q1,Philippines,PHP,0.04,0.062,0.05,-0.025,6.0,0.45,0.028,0.35,0.55,0.04,imf_weo_curated
2022-01-01,2022,2022Q1,Colombia,COP,0.07,0.13,0.02,-0.035,5.0,0.6,0.025,0.4,0.6000000000000001,0.09,imf_weo_curated
2022-01-01,2022,2022Q1,Brazil,BRL,0.045,0.1175,0.03,-0.02,6.5,0.7,0.018,0.45,0.65,0.08,imf_weo_curated
2022-01-01,2022,2022Q1,Nigeria,NGN,0.25,0.185,0.025,-0.01,3.0,0.85,0.045,0.55,0.75,0.04,imf_weo_curated
2022-01-01,2022,2022Q1,Pakistan,PKR,0.28,0.2,0.02,-0.04,2.5,0.75,0.055,0.48,0.6799999999999999,0.06,imf_weo_curated
2022-01-01,2022,2022Q1,United States,USD,0.03,0.0525,0.025,-0.03,12.0,0.95,0.005,0.25,0.45,0.04,imf_weo_curated
2022-01-01,2022,2022Q1,Germany,EUR,0.025,0.04,0.01,0.06,10.0,1.2,0.008,0.8,1.0,0.03,imf_weo_curated
2022-04-01,2022,2022Q2,Mexico,MXN,0.045,0.11,0.025,-0.01,4.5,0.35,0.038,0.42,0.62,0.03,imf_weo_curated
2022-04-01,2022,2022Q2,India,INR,0.055,0.065,0.07,-0.02,8.0,0.55,0.032,0.38,0.5800000000000001,0.07,imf_weo_curated
2022-04-01,2022,2022Q2,Philippines,PHP,0.04,0.062,0.05,-0.025,6.0,0.45,0.028,0.35,0.55,0.04,imf_weo_curated
2022-04-01,2022,2022Q2,Colombia,COP,0.07,0.13,0.02,-0.035,5.0,0.6,0.025,0.4,0.6000000000000001,0.09,imf_weo_curated
2022-04-01,2022,2022Q2,Brazil,BRL,0.045,0.1175,0.03,-0.02,6.5,0.7,0.018,0.45,0.65,0.08,imf_weo_curated
2022-04-01,2022,2022Q2,Nigeria,NGN,0.25,0.185,0.025,-0.01,3.0,0.85,0.045,0.55,0.75,0.04,imf_weo_curated
2022-04-01,2022,2022Q2,Pakistan,PKR,0.28,0.2,0.02,-0.04,2.5,0.75,0.055,0.48,0.6799999999999999,0.06,imf_weo_curated
2022-04-01,2022,2022Q2,United States,USD,0.03,0.0525,0.025,-0.03,12.0,0.95,0.005,0.25,0.45,0.04,imf_weo_curated
2022-04-01,2022,2022Q2,Germany,EUR,0.025,0.04,0.01,0.06,10.0,1.2,0.008,0.8,1.0,0.03,imf_weo_curated
2022-07-01,2022,2022Q3,Mexico,MXN,0.045,0.11,0.025,-0.01,4.5,0.35,0.038,0.42,0.62,0.03,imf_weo_curated
