strategy,total_return_pct,ann_return_pct,ann_vol_pct,sharpe,max_drawdown_pct,win_rate_pct,fold,sample,period
legacy,-13.71,-13.27,14.1,-0.939,-17.45,47.9,0,out_of_sample,2009-03-19_2010-03-18
flat_range,-9.19,-8.88,13.15,-0.642,-12.6,41.0,0,out_of_sample,2009-03-19_2010-03-18
legacy,-11.44,-11.06,10.82,-1.03,-16.06,49.8,1,out_of_sample,2010-03-19_2011-03-18
flat_range,-11.5,-11.13,10.17,-1.109,-15.49,42.9,1,out_of_sample,2010-03-19_2011-03-18
legacy,7.51,7.27,14.96,0.543,-10.02,52.3,2,out_of_sample,2011-03-19_2012-03-18
flat_range,9.48,9.17,13.51,0.717,-8.27,50.0,2,out_of_sample,2011-03-19_2012-03-18
legacy,-2.09,-2.02,9.9,-0.157,-10.3,49.4,3,out_of_sample,2012-03-19_2013-03-18
flat_range,-5.27,-5.09,9.53,-0.501,-10.71,42.5,3,out_of_sample,2012-03-19_2013-03-18
legacy,-12.3,-11.9,10.93,-1.104,-16.66,46.0,4,out_of_sample,2013-03-19_2014-03-18
flat_range,-7.81,-7.55,9.96,-0.738,-13.29,35.6,4,out_of_sample,2013-03-19_2014-03-18
legacy,16.35,15.75,8.06,1.856,-3.21,52.5,5,out_of_sample,2014-03-19_2015-03-18
flat_range,15.3,14.73,7.83,1.795,-3.21,46.7,5,out_of_sample,2014-03-19_2015-03-18
legacy,11.43,10.97,11.49,0.964,-8.08,56.5,6,out_of_sample,2015-03-19_2016-03-18
flat_range,9.55,9.17,11.05,0.849,-7.56,49.2,6,out_of_sample,2015-03-19_2016-03-18
legacy,-16.79,-16.32,16.8,-0.975,-23.03,48.8,7,out_of_sample,2016-03-19_2017-03-18
flat_range,-12.76,-12.39,16.3,-0.729,-19.53,44.6,7,out_of_sample,2016-03-19_2017-03-18
legacy,1.22,1.18,10.32,0.165,-8.36,50.4,8,out_of_sample,2017-03-19_2018-03-18
flat_range,4.68,4.53,9.8,0.501,-8.13,47.3,8,out_of_sample,2017-03-19_2018-03-18
legacy,-3.88,-3.75,12.01,-0.258,-12.37,49.8,9,out_of_sample,2018-03-19_2019-03-18
flat_range,-6.88,-6.65,11.1,-0.564,-11.73,42.1,9,out_of_sample,2018-03-19_2019-03-18
legacy,6.46,6.23,12.22,0.555,-13.25,49.4,10,out_of_sample,2019-03-19_2020-03-18
flat_range,3.21,3.09,10.89,0.333,-12.25,34.9,10,out_of_sample,2019-03-19_2020-03-18
legacy,0.46,0.44,18.18,0.115,-16.03,50.6,11,out_of_sample,2020-03-19_2021-03-18
flat_range,0.54,0.52,18.0,0.119,-15.98,48.7,11,out_of_sample,2020-03-19_2021-03-18
legacy,-15.15,-14.67,9.24,-1.669,-16.91,46.0,12,out_of_sample,2021-03-19_2022-03-18
flat_range,-10.32,-9.98,7.73,-1.321,-12.01,32.2,12,out_of_sample,2021-03-19_2022-03-18
legacy,0.91,0.88,11.07,0.135,-6.19,55.4,13,out_of_sample,2022-03-19_2023-03-18
flat_range,-3.56,-3.45,10.85,-0.27,-7.77,46.5,13,out_of_sample,2022-03-19_2023-03-18
legacy,6.12,5.9,9.6,0.645,-8.92,54.0,14,out_of_sample,2023-03-19_2024-03-18
flat_range,9.2,8.87,9.13,0.976,-8.22,46.0,14,out_of_sample,2023-03-19_2024-03-18
legacy,19.96,19.29,14.23,1.311,-6.49,51.5,15,out_of_sample,2024-03-19_2025-03-18
flat_range,12.79,12.37,13.32,0.942,-7.54,47.7,15,out_of_sample,2024-03-19_2025-03-18
legacy,11.76,11.52,9.2,1.231,-5.06,55.6,16,out_of_sample,2025-03-19_2026-03-18
flat_range,6.9,6.76,9.02,0.77,-5.06,47.1,16,out_of_sample,2025-03-19_2026-03-18
legacy,-1.15,-6.01,9.24,-0.626,-5.08,48.9,17,out_of_sample,2026-03-19_2026-05-22
flat_range,-2.53,-12.85,8.75,-1.529,-4.96,44.7,17,out_of_sample,2026-03-19_2026-05-22
