model_name,status,reason,observations,required_columns_missing
random_walk_model,success,,6183,
buy_and_hold_model,success,,6183,
always_flat_model,success,,6183,
ma_crossover_model,success,,6183,
regime_trend_model,success,,6183,
r2_only_model,success,,6183,
r2_only_vol_scaled_model,success,,6183,
r1_risk_off_model,success,,6183,
volatility_breakout_model,success,,6183,
mean_reversion_range_model,success,,6183,
carry_proxy_model,success,,6183,
carry_regime_model,success,,6183,
carry_fragility_risk_off_model,success,,6183,
r2_carry_confirmed_model,success,,6183,
carry_adjusted_hedge_model,success,,6183,
dollar_stress_model,success,,6183,
flow_pressure_model,success,,6183,
ensemble_vote_model,success,,6183,
conservative_hedge_model,success,,6183,
no_change_in_range_model,success,,6183,
news_stress_risk_off_model,success,,6183,
r2_news_confirmed_model,success,,6183,
r1_news_escalation_model,success,,6183,
news_flow_pressure_model,success,,6183,
