split,primary_sharpe,primary_return_pct,rw_sharpe,beats_rw,ticker
split_1,-0.002,-2.58,0.0,False,USDMXN=X
split_2,0.316,8.91,0.0,True,USDMXN=X
split_3,0.522,6.01,0.0,True,USDMXN=X
split_1,-0.201,-14.38,0.0,False,USDBRL=X
split_2,0.048,-0.78,0.0,True,USDBRL=X
split_3,-0.709,-12.34,0.0,False,USDBRL=X
split_1,-0.318,-16.49,0.0,False,USDCOP=X
split_2,0.041,-1.65,0.0,True,USDCOP=X
split_3,-0.367,-8.53,0.0,False,USDCOP=X
split_1,-0.367,-6.65,0.0,False,USDJPY=X
split_2,0.776,25.54,0.0,True,USDJPY=X
split_3,-0.08,-1.55,0.0,False,USDJPY=X
split_1,-0.004,-0.49,0.0,False,EURUSD=X
split_2,0.067,0.7,0.0,True,EURUSD=X
split_3,0.487,4.71,0.0,True,EURUSD=X
split_1,-1.045,-19.17,0.0,False,USDINR=X
split_2,0.042,0.25,0.0,True,USDINR=X
split_3,0.838,6.79,0.0,True,USDINR=X
split_1,-0.455,-8.61,0.0,False,USDPHP=X
split_2,0.49,9.92,0.0,True,USDPHP=X
split_3,0.316,3.69,0.0,True,USDPHP=X
split_1,0.156,3.84,0.0,True,USDZAR=X
split_2,-0.203,-10.49,0.0,False,USDZAR=X
split_3,-0.088,-8.23,0.0,False,USDZAR=X
split_1,1.097,101.52,0.0,True,USDTRY=X
split_2,3.212,154.86,0.0,True,USDTRY=X
split_3,5.127,29.2,0.0,True,USDTRY=X
split_1,0.214,6.38,0.0,True,USDCLP=X
split_2,0.105,0.65,0.0,True,USDCLP=X
split_3,-0.373,-8.28,0.0,False,USDCLP=X
split_1,-0.027,-1.92,0.0,False,USDPLN=X
split_2,-0.233,-9.36,0.0,False,USDPLN=X
split_3,0.07,0.33,0.0,True,USDPLN=X
split_1,0.544,11.06,0.0,True,USDKRW=X
split_2,0.256,6.36,0.0,True,USDKRW=X
split_3,-0.152,-2.71,0.0,False,USDKRW=X
split_1,0.817,12.28,0.0,True,USDTHB=X
split_2,0.362,8.14,0.0,True,USDTHB=X
split_3,-0.894,-9.47,0.0,False,USDTHB=X
split_1,0.197,2.03,0.0,True,USDMYR=X
split_2,0.613,10.3,0.0,True,USDMYR=X
split_3,-0.036,-0.45,0.0,False,USDMYR=X
split_1,0.118,2.19,0.0,True,USDIDR=X
split_2,0.222,4.87,0.0,True,USDIDR=X
split_3,0.48,6.47,0.0,True,USDIDR=X
split_1,-0.216,-13.73,0.0,False,USDPEN=X
split_2,-0.414,-26.44,0.0,False,USDPEN=X
split_3,-0.032,-4.15,0.0,False,USDPEN=X
split_1,0.441,10.73,0.0,True,GBPUSD=X
split_2,0.391,9.85,0.0,True,GBPUSD=X
split_3,0.03,-0.05,0.0,True,GBPUSD=X
split_1,-0.049,-2.63,0.0,False,AUDUSD=X
split_2,-0.433,-14.16,0.0,False,AUDUSD=X
split_3,-1.095,-12.83,0.0,False,AUDUSD=X
split_1,-0.631,-10.91,0.0,False,USDCHF=X
split_2,0.352,7.59,0.0,True,USDCHF=X
split_3,0.501,5.52,0.0,True,USDCHF=X
