strategy,total_return_pct,ann_return_pct,ann_vol_pct,sharpe,max_drawdown_pct,win_rate_pct,cost_layer,ticker,total_cost_pct
flat_range,-6.47,-0.27,10.87,0.029,-51.35,43.6,full_economic,USDMXN=X,26.42
flat_range,60.4,2.26,17.71,0.214,-43.15,45.4,full_economic,USDBRL=X,27.564
flat_range,-19.32,-0.94,17.66,0.035,-47.56,44.6,full_economic,USDCOP=X,31.703
flat_range,24.05,0.85,9.67,0.136,-28.28,42.5,full_economic,USDJPY=X,17.136
flat_range,10.79,0.45,9.04,0.095,-27.94,41.9,full_economic,EURUSD=X,13.354
flat_range,24.74,0.97,6.77,0.177,-26.85,37.6,full_economic,USDINR=X,18.714
flat_range,-1.66,-0.07,7.35,0.027,-40.68,39.7,full_economic,USDPHP=X,20.7
flat_range,-53.13,-3.26,16.93,-0.111,-59.11,43.5,full_economic,USDZAR=X,34.317
flat_range,1761.16,14.39,15.85,0.927,-42.25,52.0,full_economic,USDTRY=X,36.256
flat_range,-27.0,-1.37,16.49,-0.001,-47.84,42.9,full_economic,USDCLP=X,27.965
flat_range,52.36,1.86,13.06,0.207,-38.02,44.6,full_economic,USDPLN=X,17.247
flat_range,-19.36,-0.94,12.86,-0.009,-37.7,42.2,full_economic,USDKRW=X,17.724
flat_range,45.92,1.67,9.4,0.223,-19.32,43.1,full_economic,USDTHB=X,20.692
flat_range,10.13,0.42,8.24,0.092,-26.6,39.4,full_economic,USDMYR=X,19.208
flat_range,-8.63,-0.37,11.91,0.029,-42.11,41.8,full_economic,USDIDR=X,26.834
flat_range,-66.4,-4.19,16.41,-0.179,-69.6,37.9,full_economic,USDPEN=X,29.068
flat_range,-6.17,-0.28,8.49,0.01,-32.2,42.8,full_economic,GBPUSD=X,13.756
flat_range,-32.1,-1.88,11.86,-0.101,-43.09,43.2,full_economic,AUDUSD=X,14.355
flat_range,-35.06,-1.85,9.48,-0.149,-55.24,41.6,full_economic,USDCHF=X,17.736
