ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,no_change_wins_cost_adj,turnover_reduction_pct,no_change_wins_turnover
USDMXN=X,split_1,us_entity_long_mxn,fixed_split,2019-01-01..2021-12-31,base,8.682,8.451,1.6,11.8,True,86.44,True
USDMXN=X,split_1,us_entity_long_mxn,fixed_split,2019-01-01..2021-12-31,forward_full,0.446,0.972,1.6,11.8,False,86.44,True
USDMXN=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,base,8.682,8.451,1.6,11.8,True,86.44,True
USDMXN=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,forward_full,0.446,0.972,1.6,11.8,False,86.44,True
USDMXN=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,base,8.683,8.448,1.6,11.8,True,86.44,True
USDMXN=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,forward_full,0.447,0.971,1.6,11.8,False,86.44,True
USDMXN=X,split_2,us_entity_long_mxn,fixed_split,2022-01-01..2024-12-31,base,7.211,7.084,5.0,13.4,True,62.69,True
USDMXN=X,split_2,us_entity_long_mxn,fixed_split,2022-01-01..2024-12-31,forward_full,-0.922,-0.998,5.0,13.4,True,62.69,True
USDMXN=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,base,7.211,7.084,5.0,13.4,True,62.69,True
USDMXN=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,forward_full,-0.922,-0.998,5.0,13.4,True,62.69,True
USDMXN=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,base,7.212,7.084,5.0,13.4,True,62.69,True
USDMXN=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,forward_full,-0.919,-0.999,5.0,13.4,True,62.69,True
USDMXN=X,split_3,us_entity_long_mxn,fixed_split,2025-01-01..2026-12-31,base,6.092,5.774,0.6,4.2,True,85.71,True
USDMXN=X,split_3,us_entity_long_mxn,fixed_split,2025-01-01..2026-12-31,forward_full,2.327,2.225,0.6,4.2,True,85.71,True
USDMXN=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,base,6.092,5.774,0.6,4.2,True,85.71,True
USDMXN=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,forward_full,2.327,2.225,0.6,4.2,True,85.71,True
USDMXN=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,base,6.092,5.772,0.6,4.2,True,85.71,True
USDMXN=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,forward_full,2.328,2.226,0.6,4.2,True,85.71,True
USDMXN=X,wf_0,us_entity_long_mxn,walk_forward,2006-09-14..2007-09-13,base,3.901,3.106,1.2,5.2,True,76.92,True
USDMXN=X,wf_0,us_entity_long_mxn,walk_forward,2006-09-14..2007-09-13,forward_full,1.045,0.657,1.2,5.2,True,76.92,True
USDMXN=X,wf_0,receiver_currency_exposure,walk_forward,2006-09-14..2007-09-13,base,3.901,3.106,1.2,5.2,True,76.92,True
USDMXN=X,wf_0,receiver_currency_exposure,walk_forward,2006-09-14..2007-09-13,forward_full,1.045,0.657,1.2,5.2,True,76.92,True
USDMXN=X,wf_0,usd_liability_exposure,walk_forward,2006-09-14..2007-09-13,base,3.9,3.106,1.2,5.2,True,76.92,True
USDMXN=X,wf_0,usd_liability_exposure,walk_forward,2006-09-14..2007-09-13,forward_full,1.043,0.657,1.2,5.2,True,76.92,True
USDMXN=X,wf_1,us_entity_long_mxn,walk_forward,2007-09-14..2008-09-13,base,3.512,3.204,1.4,4.4,True,68.18,True
USDMXN=X,wf_1,us_entity_long_mxn,walk_forward,2007-09-14..2008-09-13,forward_full,0.689,0.622,1.4,4.4,True,68.18,True
USDMXN=X,wf_1,receiver_currency_exposure,walk_forward,2007-09-14..2008-09-13,base,3.512,3.204,1.4,4.4,True,68.18,True
USDMXN=X,wf_1,receiver_currency_exposure,walk_forward,2007-09-14..2008-09-13,forward_full,0.689,0.622,1.4,4.4,True,68.18,True
USDMXN=X,wf_1,usd_liability_exposure,walk_forward,2007-09-14..2008-09-13,base,3.511,3.202,1.4,4.4,True,68.18,True
USDMXN=X,wf_1,usd_liability_exposure,walk_forward,2007-09-14..2008-09-13,forward_full,0.684,0.618,1.4,4.4,True,68.18,True
USDMXN=X,wf_2,us_entity_long_mxn,walk_forward,2008-09-14..2009-09-13,base,13.998,15.756,0.5,2.9,False,82.76,True
USDMXN=X,wf_2,us_entity_long_mxn,walk_forward,2008-09-14..2009-09-13,forward_full,11.391,12.972,0.5,2.9,False,82.76,True
USDMXN=X,wf_2,receiver_currency_exposure,walk_forward,2008-09-14..2009-09-13,base,13.998,15.756,0.5,2.9,False,82.76,True
USDMXN=X,wf_2,receiver_currency_exposure,walk_forward,2008-09-14..2009-09-13,forward_full,11.391,12.972,0.5,2.9,False,82.76,True
USDMXN=X,wf_2,usd_liability_exposure,walk_forward,2008-09-14..2009-09-13,base,13.998,15.754,0.5,2.9,False,82.76,True
USDMXN=X,wf_2,usd_liability_exposure,walk_forward,2008-09-14..2009-09-13,forward_full,11.389,12.964,0.5,2.9,False,82.76,True
USDMXN=X,wf_3,us_entity_long_mxn,walk_forward,2009-09-14..2010-09-13,base,7.333,6.446,0.6,4.8,True,87.5,True
USDMXN=X,wf_3,us_entity_long_mxn,walk_forward,2009-09-14..2010-09-13,forward_full,4.528,3.833,0.6,4.8,True,87.5,True
USDMXN=X,wf_3,receiver_currency_exposure,walk_forward,2009-09-14..2010-09-13,base,7.333,6.446,0.6,4.8,True,87.5,True
USDMXN=X,wf_3,receiver_currency_exposure,walk_forward,2009-09-14..2010-09-13,forward_full,4.528,3.833,0.6,4.8,True,87.5,True
USDMXN=X,wf_3,usd_liability_exposure,walk_forward,2009-09-14..2010-09-13,base,7.333,6.445,0.6,4.8,True,87.5,True
USDMXN=X,wf_3,usd_liability_exposure,walk_forward,2009-09-14..2010-09-13,forward_full,4.529,3.831,0.6,4.8,True,87.5,True
USDMXN=X,wf_4,us_entity_long_mxn,walk_forward,2010-09-14..2011-09-13,base,5.342,4.504,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,us_entity_long_mxn,walk_forward,2010-09-14..2011-09-13,forward_full,2.555,1.984,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,receiver_currency_exposure,walk_forward,2010-09-14..2011-09-13,base,5.342,4.504,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,receiver_currency_exposure,walk_forward,2010-09-14..2011-09-13,forward_full,2.555,1.984,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,usd_liability_exposure,walk_forward,2010-09-14..2011-09-13,base,5.341,4.505,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,usd_liability_exposure,walk_forward,2010-09-14..2011-09-13,forward_full,2.554,1.984,1.1,4.1,True,73.17,True
USDMXN=X,wf_5,us_entity_long_mxn,walk_forward,2011-09-14..2012-09-13,base,8.661,9.398,2.1,3.9,False,46.15,True
