corridor_id,policy_name,exposure_type,total_return_proxy,unhedged_volatility,hedged_volatility,volatility_reduction,max_drawdown_unhedged,max_drawdown_hedged,hedge_turnover,total_hedge_cost,hedge_trade_cost_pct,forward_roll_cost_pct,forward_carry_cost_pct,cost_layer,average_hedge_ratio,number_of_hedge_changes,cost_adjusted_risk_reduction,regret_proxy,status,ticker,split,oos_design,test_period,test_bars,sample,warmup_start
USDMXN=X,half_hedged,us_entity_long_mxn,-4.223,13.84,6.92,6.92,-26.924,-14.392,0.0,0.0,0.0,0.0,0.0,base,0.5,0,6.92,4.678,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,us_entity_long_mxn,-9.878,13.84,6.92,6.92,-26.924,-15.891,0.0,6.0849,0.0,0.8905,5.1944,forward_full,0.5,0,0.835,4.675,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,us_entity_long_mxn,-1.96,13.84,3.46,10.38,-26.924,-7.443,0.0,0.0,0.0,0.0,0.0,base,0.75,0,10.38,2.339,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,us_entity_long_mxn,-10.513,13.84,3.46,10.38,-26.924,-12.302,0.0,9.1274,0.0,1.3357,7.7917,forward_full,0.75,0,1.252,2.338,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,us_entity_long_mxn,1.313,13.84,5.153,8.687,-26.924,-8.738,11.8,0.236,0.236,0.0,0.0,base,0.576,49,8.451,3.661,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,us_entity_long_mxn,-5.987,13.84,5.154,8.685,-26.924,-9.605,11.8,7.7138,0.708,1.0252,5.9806,forward_full,0.576,49,0.972,3.66,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,us_entity_long_mxn,-4.018,13.84,5.125,8.714,-26.924,-11.556,1.6,0.032,0.032,0.0,0.0,base,0.672,16,8.682,3.247,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,us_entity_long_mxn,-11.608,13.84,5.126,8.714,-26.924,-14.347,1.6,8.2683,0.096,1.196,6.9764,forward_full,0.672,16,0.446,3.244,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,us_entity_long_mxn,-0.955,13.84,5.737,8.102,-26.924,-9.236,4.8,0.096,0.096,0.0,0.0,base,0.487,16,8.006,4.255,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,us_entity_long_mxn,-6.835,13.84,5.74,8.099,-26.924,-10.535,4.8,6.2151,0.288,0.8674,5.0597,forward_full,0.487,16,1.884,4.254,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,receiver_currency_exposure,-4.223,13.84,6.92,6.92,-26.924,-14.392,0.0,0.0,0.0,0.0,0.0,base,0.5,0,6.92,4.678,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,receiver_currency_exposure,-9.878,13.84,6.92,6.92,-26.924,-15.891,0.0,6.0849,0.0,0.8905,5.1944,forward_full,0.5,0,0.835,4.675,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,receiver_currency_exposure,-1.96,13.84,3.46,10.38,-26.924,-7.443,0.0,0.0,0.0,0.0,0.0,base,0.75,0,10.38,2.339,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,receiver_currency_exposure,-10.513,13.84,3.46,10.38,-26.924,-12.302,0.0,9.1274,0.0,1.3357,7.7917,forward_full,0.75,0,1.252,2.338,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,receiver_currency_exposure,1.313,13.84,5.153,8.687,-26.924,-8.738,11.8,0.236,0.236,0.0,0.0,base,0.576,49,8.451,3.661,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,receiver_currency_exposure,-5.987,13.84,5.154,8.685,-26.924,-9.605,11.8,7.7138,0.708,1.0252,5.9806,forward_full,0.576,49,0.972,3.66,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,receiver_currency_exposure,-4.018,13.84,5.125,8.714,-26.924,-11.556,1.6,0.032,0.032,0.0,0.0,base,0.672,16,8.682,3.247,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,receiver_currency_exposure,-11.608,13.84,5.126,8.714,-26.924,-14.347,1.6,8.2683,0.096,1.196,6.9764,forward_full,0.672,16,0.446,3.244,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,receiver_currency_exposure,-0.955,13.84,5.737,8.102,-26.924,-9.236,4.8,0.096,0.096,0.0,0.0,base,0.487,16,8.006,4.255,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,receiver_currency_exposure,-6.835,13.84,5.74,8.099,-26.924,-10.535,4.8,6.2151,0.288,0.8674,5.0597,forward_full,0.487,16,1.884,4.254,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,usd_liability_exposure,2.937,13.84,6.92,6.92,-21.756,-11.247,0.0,0.0,0.0,0.0,0.0,base,0.5,0,6.92,4.678,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,usd_liability_exposure,-3.14,13.84,6.92,6.92,-21.756,-13.341,0.0,6.0849,0.0,0.8905,5.1944,forward_full,0.5,0,0.835,4.684,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,usd_liability_exposure,1.638,13.84,3.46,10.38,-21.756,-5.712,0.0,0.0,0.0,0.0,0.0,base,0.75,0,10.38,2.339,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,usd_liability_exposure,-7.229,13.84,3.46,10.38,-21.756,-9.629,0.0,9.1274,0.0,1.3357,7.7917,forward_full,0.75,0,1.252,2.355,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,usd_liability_exposure,-2.532,13.84,5.155,8.684,-21.756,-9.551,11.8,0.236,0.236,0.0,0.0,base,0.576,49,8.448,3.664,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,usd_liability_exposure,-9.555,13.84,5.155,8.685,-21.756,-12.664,11.8,7.7138,0.708,1.0252,5.9806,forward_full,0.576,49,0.971,3.673,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,usd_liability_exposure,3.312,13.84,5.125,8.715,-21.756,-8.047,1.6,0.032,0.032,0.0,0.0,base,0.672,16,8.683,3.246,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,usd_liability_exposure,-4.856,13.84,5.125,8.715,-21.756,-11.316,1.6,8.2683,0.096,1.196,6.9764,forward_full,0.672,16,0.447,3.259,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,usd_liability_exposure,-0.207,13.84,5.735,8.104,-21.756,-10.016,4.8,0.096,0.096,0.0,0.0,base,0.487,16,8.008,4.254,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,usd_liability_exposure,-6.131,13.84,5.733,8.107,-21.756,-12.091,4.8,6.2151,0.288,0.8674,5.0597,forward_full,0.487,16,1.891,4.259,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,us_entity_long_mxn,-2.301,11.62,5.81,5.81,-22.971,-12.056,0.0,0.0,0.0,0.0,0.0,base,0.5,0,5.81,4.325,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,half_hedged,us_entity_long_mxn,-8.084,11.62,5.81,5.81,-22.971,-13.95,0.0,6.1012,0.0,0.8929,5.2083,forward_full,0.5,0,-0.291,4.312,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,us_entity_long_mxn,-1.033,11.62,2.905,8.715,-22.971,-6.174,0.0,0.0,0.0,0.0,0.0,base,0.75,0,8.715,2.163,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,us_entity_long_mxn,-9.689,11.62,2.905,8.715,-22.971,-9.817,0.0,9.1518,0.0,1.3393,7.8125,forward_full,0.75,0,-0.436,2.149,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,regime_based,us_entity_long_mxn,-2.415,11.62,4.268,7.352,-22.971,-10.029,13.4,0.268,0.268,0.0,0.0,base,0.618,77,7.084,3.144,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,regime_based,us_entity_long_mxn,-9.992,11.62,4.268,7.352,-22.971,-13.412,13.4,8.35,0.804,1.1043,6.4417,forward_full,0.618,77,-0.998,3.129,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,no_change_in_range,us_entity_long_mxn,-1.619,11.62,4.31,7.311,-22.971,-8.414,5.0,0.1,0.1,0.0,0.0,base,0.65,50,7.211,3.117,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,no_change_in_range,us_entity_long_mxn,-9.303,11.62,4.311,7.31,-22.971,-11.157,5.0,8.2315,0.3,1.1607,6.7708,forward_full,0.65,50,-0.922,3.104,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,volatility_triggered,us_entity_long_mxn,-0.406,11.62,4.762,6.859,-22.971,-10.991,15.6,0.312,0.312,0.0,0.0,base,0.549,52,6.547,3.606,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,volatility_triggered,us_entity_long_mxn,-7.438,11.62,4.766,6.854,-22.971,-13.455,15.6,7.6327,0.936,0.98,5.7167,forward_full,0.549,52,-0.778,3.594,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,half_hedged,receiver_currency_exposure,-2.301,11.62,5.81,5.81,-22.971,-12.056,0.0,0.0,0.0,0.0,0.0,base,0.5,0,5.81,4.325,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,half_hedged,receiver_currency_exposure,-8.084,11.62,5.81,5.81,-22.971,-13.95,0.0,6.1012,0.0,0.8929,5.2083,forward_full,0.5,0,-0.291,4.312,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,receiver_currency_exposure,-1.033,11.62,2.905,8.715,-22.971,-6.174,0.0,0.0,0.0,0.0,0.0,base,0.75,0,8.715,2.163,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,receiver_currency_exposure,-9.689,11.62,2.905,8.715,-22.971,-9.817,0.0,9.1518,0.0,1.3393,7.8125,forward_full,0.75,0,-0.436,2.149,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,regime_based,receiver_currency_exposure,-2.415,11.62,4.268,7.352,-22.971,-10.029,13.4,0.268,0.268,0.0,0.0,base,0.618,77,7.084,3.144,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,regime_based,receiver_currency_exposure,-9.992,11.62,4.268,7.352,-22.971,-13.412,13.4,8.35,0.804,1.1043,6.4417,forward_full,0.618,77,-0.998,3.129,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,no_change_in_range,receiver_currency_exposure,-1.619,11.62,4.31,7.311,-22.971,-8.414,5.0,0.1,0.1,0.0,0.0,base,0.65,50,7.211,3.117,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,no_change_in_range,receiver_currency_exposure,-9.303,11.62,4.311,7.31,-22.971,-11.157,5.0,8.2315,0.3,1.1607,6.7708,forward_full,0.65,50,-0.922,3.104,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,volatility_triggered,receiver_currency_exposure,-0.406,11.62,4.762,6.859,-22.971,-10.991,15.6,0.312,0.312,0.0,0.0,base,0.549,52,6.547,3.606,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,volatility_triggered,receiver_currency_exposure,-7.438,11.62,4.766,6.854,-22.971,-13.455,15.6,7.6327,0.936,0.98,5.7167,forward_full,0.549,52,-0.778,3.594,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,half_hedged,usd_liability_exposure,1.334,11.62,5.81,5.81,-23.701,-12.404,0.0,0.0,0.0,0.0,0.0,base,0.5,0,5.81,4.325,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,half_hedged,usd_liability_exposure,-4.664,11.62,5.81,5.81,-23.701,-16.047,0.0,6.1012,0.0,0.8929,5.2083,forward_full,0.5,0,-0.291,4.341,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,usd_liability_exposure,0.791,11.62,2.905,8.715,-23.701,-6.341,0.0,0.0,0.0,0.0,0.0,base,0.75,0,8.715,2.163,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,usd_liability_exposure,-8.024,11.62,2.905,8.715,-23.701,-12.122,0.0,9.1518,0.0,1.3393,7.8125,forward_full,0.75,0,-0.436,2.191,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
