ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj,half_cost_adj,no_change_turnover,half_turnover,no_change_wins_cost_adj,turnover_reduction_pct,static_benchmark,mostly_cost_adj,mostly_turnover
USDMXN=X,split_1,us_entity_long_mxn,fixed_split,2019-01-01..2021-12-31,base,8.682,6.92,1.6,0.0,True,,half_hedged,,
USDMXN=X,split_1,us_entity_long_mxn,fixed_split,2019-01-01..2021-12-31,forward_full,0.446,0.835,1.6,0.0,False,,half_hedged,,
USDMXN=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,base,8.682,6.92,1.6,0.0,True,,half_hedged,,
USDMXN=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,forward_full,0.446,0.835,1.6,0.0,False,,half_hedged,,
USDMXN=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,base,8.683,6.92,1.6,0.0,True,,half_hedged,,
USDMXN=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,forward_full,0.447,0.835,1.6,0.0,False,,half_hedged,,
USDMXN=X,split_2,us_entity_long_mxn,fixed_split,2022-01-01..2024-12-31,base,7.211,5.81,5.0,0.0,True,,half_hedged,,
USDMXN=X,split_2,us_entity_long_mxn,fixed_split,2022-01-01..2024-12-31,forward_full,-0.922,-0.291,5.0,0.0,False,,half_hedged,,
USDMXN=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,base,7.211,5.81,5.0,0.0,True,,half_hedged,,
USDMXN=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,forward_full,-0.922,-0.291,5.0,0.0,False,,half_hedged,,
USDMXN=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,base,7.212,5.81,5.0,0.0,True,,half_hedged,,
USDMXN=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,forward_full,-0.919,-0.291,5.0,0.0,False,,half_hedged,,
USDMXN=X,split_3,us_entity_long_mxn,fixed_split,2025-01-01..2026-12-31,base,6.092,4.744,0.6,0.0,True,,half_hedged,,
USDMXN=X,split_3,us_entity_long_mxn,fixed_split,2025-01-01..2026-12-31,forward_full,2.327,1.946,0.6,0.0,True,,half_hedged,,
USDMXN=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,base,6.092,4.744,0.6,0.0,True,,half_hedged,,
USDMXN=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,forward_full,2.327,1.946,0.6,0.0,True,,half_hedged,,
USDMXN=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,base,6.092,4.744,0.6,0.0,True,,half_hedged,,
USDMXN=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,forward_full,2.328,1.946,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_0,us_entity_long_mxn,walk_forward,2006-09-14..2007-09-13,base,3.901,2.934,1.2,0.0,True,,half_hedged,,
USDMXN=X,wf_0,us_entity_long_mxn,walk_forward,2006-09-14..2007-09-13,forward_full,1.045,0.875,1.2,0.0,True,,half_hedged,,
USDMXN=X,wf_0,receiver_currency_exposure,walk_forward,2006-09-14..2007-09-13,base,3.901,2.934,1.2,0.0,True,,half_hedged,,
USDMXN=X,wf_0,receiver_currency_exposure,walk_forward,2006-09-14..2007-09-13,forward_full,1.045,0.875,1.2,0.0,True,,half_hedged,,
USDMXN=X,wf_0,usd_liability_exposure,walk_forward,2006-09-14..2007-09-13,base,3.9,2.934,1.2,0.0,True,,half_hedged,,
USDMXN=X,wf_0,usd_liability_exposure,walk_forward,2006-09-14..2007-09-13,forward_full,1.043,0.875,1.2,0.0,True,,half_hedged,,
USDMXN=X,wf_1,us_entity_long_mxn,walk_forward,2007-09-14..2008-09-13,base,3.512,2.73,1.4,0.0,True,,half_hedged,,
USDMXN=X,wf_1,us_entity_long_mxn,walk_forward,2007-09-14..2008-09-13,forward_full,0.689,0.672,1.4,0.0,True,,half_hedged,,
USDMXN=X,wf_1,receiver_currency_exposure,walk_forward,2007-09-14..2008-09-13,base,3.512,2.73,1.4,0.0,True,,half_hedged,,
USDMXN=X,wf_1,receiver_currency_exposure,walk_forward,2007-09-14..2008-09-13,forward_full,0.689,0.672,1.4,0.0,True,,half_hedged,,
USDMXN=X,wf_1,usd_liability_exposure,walk_forward,2007-09-14..2008-09-13,base,3.511,2.73,1.4,0.0,True,,half_hedged,,
USDMXN=X,wf_1,usd_liability_exposure,walk_forward,2007-09-14..2008-09-13,forward_full,0.684,0.672,1.4,0.0,True,,half_hedged,,
