strategy,observed_sharpe,is_best,bars,best_strategy,observed_max_sharpe,white_rc_pvalue,n_boot,block_len,rejects_data_mining_5pct,test,ticker,exposure_type,cost_layer,policy_name,observed_metric_mean,cells,best_policy,observed_max_metric,metric,oos_design
half_hedged,-0.2739,False,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,base,,,,,,,
mostly_hedged,-0.274,False,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,base,,,,,,,
no_change_in_range,-0.3154,False,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,base,,,,,,,
regime_based,-0.2311,False,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,base,,,,,,,
volatility_triggered,-0.1321,True,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,base,,,,,,,
_SUMMARY,,,,volatility_triggered,-0.1321,0.4985,2000.0,10.0,False,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,base,,,,,,,
,,False,,,,,,,,panel_oos_metric_bootstrap,,,base,half_hedged,5.5201,117.0,,,,
,,True,,,,,,,,panel_oos_metric_bootstrap,,,base,mostly_hedged,8.28,117.0,,,,
,,False,,,,,,,,panel_oos_metric_bootstrap,,,base,no_change_in_range,6.9257,117.0,,,,
,,False,,,,,,,,panel_oos_metric_bootstrap,,,base,regime_based,6.654,117.0,,,,
,,False,,,,,,,,panel_oos_metric_bootstrap,,,base,volatility_triggered,6.1576,117.0,,,,
,,,,,,0.49,2000.0,,False,panel_oos_metric_bootstrap,,,base,_SUMMARY,,,mostly_hedged,8.28,cost_adjusted_risk_reduction,fixed_split
half_hedged,-0.634,False,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,forward_full,,,,,,,
mostly_hedged,-1.3545,False,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,forward_full,,,,,,,
no_change_in_range,-0.9661,False,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,forward_full,,,,,,,
regime_based,-0.8607,False,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,forward_full,,,,,,,
volatility_triggered,-0.6085,True,6183.0,,,,,,,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,forward_full,,,,,,,
_SUMMARY,,,,volatility_triggered,-0.6085,0.522,2000.0,10.0,False,flagship_daily_sharpe,USDMXN=X,receiver_currency_exposure,forward_full,,,,,,,
,,False,,,,,,,,panel_oos_metric_bootstrap,,,forward_full,half_hedged,1.1852,117.0,,,,
,,True,,,,,,,,panel_oos_metric_bootstrap,,,forward_full,mostly_hedged,1.7779,117.0,,,,
,,False,,,,,,,,panel_oos_metric_bootstrap,,,forward_full,no_change_in_range,1.0581,117.0,,,,
,,False,,,,,,,,panel_oos_metric_bootstrap,,,forward_full,regime_based,1.039,117.0,,,,
,,False,,,,,,,,panel_oos_metric_bootstrap,,,forward_full,volatility_triggered,1.3637,117.0,,,,
,,,,,,0.663,2000.0,,False,panel_oos_metric_bootstrap,,,forward_full,_SUMMARY,,,mostly_hedged,1.7779,cost_adjusted_risk_reduction,fixed_split
