month,remittance_usd_millions,source,methodology_version,month_label
2024-01-01,4575,Banxico starter series (research),us_mx_corridor_v1,Jan 2024
2024-02-01,4510,Banxico starter series (research),us_mx_corridor_v1,Feb 2024
2024-03-01,5120,Banxico starter series (research),us_mx_corridor_v1,Mar 2024
2024-04-01,5422,Banxico starter series (research),us_mx_corridor_v1,Apr 2024
2024-05-01,5624,Banxico starter series (research),us_mx_corridor_v1,May 2024
2024-06-01,5578,Banxico starter series (research),us_mx_corridor_v1,Jun 2024
2024-07-01,5614,Banxico starter series (research),us_mx_corridor_v1,Jul 2024
2024-08-01,5579,Banxico starter series (research),us_mx_corridor_v1,Aug 2024
2024-09-01,5360,Banxico starter series (research),us_mx_corridor_v1,Sep 2024
2024-10-01,5723,Banxico starter series (research),us_mx_corridor_v1,Oct 2024
2024-11-01,5489,Banxico starter series (research),us_mx_corridor_v1,Nov 2024
2024-12-01,5228,Banxico starter series (research),us_mx_corridor_v1,Dec 2024
2025-01-01,4761,Banxico starter series (research),us_mx_corridor_v1,Jan 2025
2025-02-01,4459,Banxico starter series (research),us_mx_corridor_v1,Feb 2025
2025-03-01,5145,Banxico starter series (research),us_mx_corridor_v1,Mar 2025
2025-04-01,5130,Banxico starter series (research),us_mx_corridor_v1,Apr 2025
2025-05-01,5360,Banxico starter series (research),us_mx_corridor_v1,May 2025
2025-06-01,5201,Banxico starter series (research),us_mx_corridor_v1,Jun 2025
2025-07-01,5330,Banxico starter series (research),us_mx_corridor_v1,Jul 2025
2025-08-01,5085,Banxico starter series (research),us_mx_corridor_v1,Aug 2025
2025-09-01,5050,Banxico starter series (research),us_mx_corridor_v1,Sep 2025
2025-10-01,5070,Banxico starter series (research),us_mx_corridor_v1,Oct 2025
2025-11-01,5060,Banxico starter series (research),us_mx_corridor_v1,Nov 2025
