date,stablecoin,ticker,issuer,blockchain_network,supply_usd,market_cap_usd,circulating_supply,source_id
2026-06-01,Tether,USDT,Tether,Tron,88557942329.20312,88557942329.20312,88557942329.20312,defillama
2026-06-01,Tether,USDT,Tether,Polygon,866754862.6121188,866754862.6121188,866754862.6121188,defillama
2026-06-01,Tether,USDT,Tether,Ethereum,80988997705.15094,80988997705.15094,80988997705.15094,defillama
2026-06-01,Tether,USDT,Tether,BSC,9170307966.452263,9170307966.452263,9170307966.452263,defillama
2026-06-01,Tether,USDT,Tether,Avalanche,431943469.0524976,431943469.0524976,431943469.0524976,defillama
2026-06-01,Tether,USDT,Tether,Arbitrum,1000138602.1243683,1000138602.1243683,1000138602.1243683,defillama
2026-06-01,Tether,USDT,Tether,Solana,2626462500.4186277,2626462500.4186277,2626462500.4186277,defillama
2026-06-01,USD Coin,USDC,Circle,Tron,28359882.38814666,28359882.38814666,28359882.38814666,defillama
2026-06-01,USD Coin,USDC,Circle,Polygon,2044414349.0901325,2044414349.0901325,2044414349.0901325,defillama
2026-06-01,USD Coin,USDC,Circle,Ethereum,49244326537.646484,49244326537.646484,49244326537.646484,defillama
2026-06-01,USD Coin,USDC,Circle,Base,4157610892.261029,4157610892.261029,4157610892.261029,defillama
2026-06-01,USD Coin,USDC,Circle,BSC,1280528720.976458,1280528720.976458,1280528720.976458,defillama
2026-06-01,USD Coin,USDC,Circle,Avalanche,402622919.40147054,402622919.40147054,402622919.40147054,defillama
2026-06-01,USD Coin,USDC,Circle,Arbitrum,2329925072.056717,2329925072.056717,2329925072.056717,defillama
2026-06-01,USD Coin,USDC,Circle,Solana,7281985708.758592,7281985708.758592,7281985708.758592,defillama
2026-06-01,Dai,DAI,MakerDAO,BSC,31060716.894018844,31060716.894018844,31060716.894018844,defillama
2026-06-01,Dai,DAI,MakerDAO,Avalanche,10900212.324120812,10900212.324120812,10900212.324120812,defillama
2026-06-01,Dai,DAI,MakerDAO,Arbitrum,18760912.21002593,18760912.21002593,18760912.21002593,defillama
2026-06-01,Dai,DAI,MakerDAO,Polygon,724358836.793863,724358836.793863,724358836.793863,defillama
2026-06-01,Dai,DAI,MakerDAO,Ethereum,3721756074.1751523,3721756074.1751523,3721756074.1751523,defillama
2026-06-01,Dai,DAI,MakerDAO,Solana,512829.7754059174,512829.7754059174,512829.7754059174,defillama
2026-06-01,Ethena USDe,USDE,Ethena,BSC,252614199.41887143,252614199.41887143,252614199.41887143,defillama
2026-06-01,Ethena USDe,USDE,Ethena,Ethereum,2819216488.36451,2819216488.36451,2819216488.36451,defillama
2026-06-01,Ethena USDe,USDE,Ethena,Avalanche,193780.97347026624,193780.97347026624,193780.97347026624,defillama
2026-06-01,Ethena USDe,USDE,Ethena,Arbitrum,1846457.2489745116,1846457.2489745116,1846457.2489745116,defillama
2026-06-01,Ethena USDe,USDE,Ethena,Base,1358004.1342385593,1358004.1342385593,1358004.1342385593,defillama
2026-06-01,Ethena USDe,USDE,Ethena,Solana,525207003.4107443,525207003.4107443,525207003.4107443,defillama
2026-06-01,PayPal USD,PYUSD,PayPal,Ethereum,2019151919.0259626,2019151919.0259626,2019151919.0259626,defillama
2026-06-01,PayPal USD,PYUSD,PayPal,Avalanche,52.126521137722776,52.126521137722776,52.126521137722776,defillama
2026-06-01,PayPal USD,PYUSD,PayPal,Polygon,10086510.187825643,10086510.187825643,10086510.187825643,defillama
2026-06-01,PayPal USD,PYUSD,PayPal,Solana,683135332.5817044,683135332.5817044,683135332.5817044,defillama
2026-06-01,PayPal USD,PYUSD,PayPal,Arbitrum,315920374.5815518,315920374.5815518,315920374.5815518,defillama
2026-06-01,PayPal USD,PYUSD,PayPal,Tron,23.012673684157463,23.012673684157463,23.012673684157463,defillama
2026-06-01,First Digital USD,FDUSD,First Digital,BSC,57689712.52722538,57689712.52722538,57689712.52722538,defillama
2026-06-01,First Digital USD,FDUSD,First Digital,Ethereum,244179081.29654902,244179081.29654902,244179081.29654902,defillama
2026-06-01,First Digital USD,FDUSD,First Digital,Solana,8509346.807029467,8509346.807029467,8509346.807029467,defillama
2026-06-01,First Digital USD,FDUSD,First Digital,Arbitrum,44639.768610492836,44639.768610492836,44639.768610492836,defillama
2026-06-01,XBANKING USDE,USDE,Ethena,Solana,49147.574013545,49147.574013545,49147.574013545,defillama
