strategy,total_return_pct,ann_return_pct,ann_vol_pct,sharpe,max_drawdown_pct,win_rate_pct,trades,pct_flat,total_cost_pct,ticker,bars,start,end,primary_beats_rw
buy_and_hold,58.71,2.3,12.79,0.241,-35.61,48.0,1,0.0,0.02,USDMXN=X,5125,2006-09-15,2026-05-22,True
legacy,20.19,0.91,12.79,0.135,-39.43,50.8,99,0.0,3.94,USDMXN=X,5125,2006-09-15,2026-05-22,True
flat_range,28.9,1.26,12.17,0.163,-32.61,43.5,187,14.5,3.74,USDMXN=X,5125,2006-09-15,2026-05-22,True
r2_only,29.54,1.28,6.41,0.231,-21.21,24.8,256,51.8,5.12,USDMXN=X,5125,2006-09-15,2026-05-22,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,USDMXN=X,5125,2006-09-15,2026-05-22,True
buy_and_hold,135.02,4.32,17.79,0.326,-40.23,49.7,1,0.0,0.02,USDBRL=X,5097,2006-09-18,2026-05-25,True
legacy,43.45,1.8,17.8,0.189,-52.43,50.5,97,0.0,3.86,USDBRL=X,5097,2006-09-18,2026-05-25,True
flat_range,62.95,2.44,17.23,0.226,-41.34,45.0,191,11.5,3.82,USDBRL=X,5097,2006-09-18,2026-05-25,True
r2_only,76.74,2.86,9.72,0.338,-21.62,26.2,286,49.1,5.72,USDBRL=X,5097,2006-09-18,2026-05-25,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,USDBRL=X,5097,2006-09-18,2026-05-25,True
buy_and_hold,60.61,2.36,18.68,0.218,-33.97,46.7,1,0.0,0.02,USDCOP=X,5113,2006-09-15,2026-05-22,True
legacy,-35.58,-2.14,18.69,-0.023,-62.67,48.4,100,0.0,3.98,USDCOP=X,5113,2006-09-15,2026-05-22,True
flat_range,22.63,1.01,17.99,0.146,-41.89,44.2,189,10.2,3.78,USDCOP=X,5113,2006-09-15,2026-05-22,True
r2_only,5.96,0.29,10.92,0.081,-33.53,26.5,317,46.2,6.34,USDCOP=X,5113,2006-09-15,2026-05-22,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,USDCOP=X,5113,2006-09-15,2026-05-22,True
buy_and_hold,34.8,1.49,10.58,0.192,-38.79,51.9,1,0.0,0.02,USDJPY=X,5104,2006-09-18,2026-05-25,True
legacy,75.5,2.82,10.58,0.315,-21.68,50.5,92,0.0,3.66,USDJPY=X,5104,2006-09-18,2026-05-25,True
flat_range,59.0,2.32,10.02,0.279,-21.68,42.3,181,15.5,3.62,USDJPY=X,5104,2006-09-18,2026-05-25,True
r2_only,26.36,1.16,5.75,0.23,-19.52,24.8,249,50.0,4.98,USDJPY=X,5104,2006-09-18,2026-05-25,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,USDJPY=X,5104,2006-09-18,2026-05-25,True
buy_and_hold,-8.16,-0.42,10.14,0.009,-39.98,49.5,1,0.0,0.02,EURUSD=X,5104,2006-09-15,2026-05-22,True
legacy,6.13,0.29,10.15,0.08,-25.96,49.5,103,0.0,4.1,EURUSD=X,5104,2006-09-15,2026-05-22,True
flat_range,21.83,0.98,9.13,0.153,-24.12,42.0,188,16.2,3.78,EURUSD=X,5104,2006-09-15,2026-05-22,True
r2_only,-4.75,-0.24,5.38,-0.018,-21.95,24.4,305,51.4,6.1,EURUSD=X,5104,2006-09-15,2026-05-22,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,EURUSD=X,5104,2006-09-15,2026-05-22,True
buy_and_hold,108.81,3.7,7.81,0.505,-15.4,49.6,1,0.0,0.02,USDINR=X,5102,2006-09-15,2026-05-22,True
legacy,36.59,1.55,7.81,0.236,-25.09,49.4,104,0.0,4.14,USDINR=X,5102,2006-09-15,2026-05-22,True
flat_range,17.62,0.8,7.01,0.149,-24.2,36.9,197,25.1,3.94,USDINR=X,5102,2006-09-15,2026-05-22,True
r2_only,-21.55,-1.19,3.69,-0.307,-26.47,19.6,274,59.0,5.48,USDINR=X,5102,2006-09-15,2026-05-22,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,USDINR=X,5102,2006-09-15,2026-05-22,True
buy_and_hold,21.81,0.98,8.37,0.158,-20.9,48.6,1,0.0,0.02,USDPHP=X,5100,2006-09-15,2026-05-22,True
legacy,-11.17,-0.58,8.37,-0.028,-39.64,48.9,90,0.0,3.58,USDPHP=X,5100,2006-09-15,2026-05-22,True
flat_range,3.16,0.15,7.63,0.059,-35.86,39.1,185,20.5,3.7,USDPHP=X,5100,2006-09-15,2026-05-22,True
r2_only,5.1,0.25,3.72,0.085,-20.38,20.5,271,57.9,5.42,USDPHP=X,5100,2006-09-15,2026-05-22,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,USDPHP=X,5100,2006-09-15,2026-05-22,True
buy_and_hold,124.07,4.05,17.68,0.313,-42.78,48.5,1,0.0,0.02,USDZAR=X,5118,2006-09-18,2026-05-25,True
legacy,3.55,0.17,17.69,0.098,-35.63,49.4,108,0.0,4.3,USDZAR=X,5118,2006-09-18,2026-05-25,True
flat_range,-19.3,-1.05,17.02,0.023,-40.4,43.5,215,11.2,4.3,USDZAR=X,5118,2006-09-18,2026-05-25,True
r2_only,-29.94,-1.74,9.27,-0.143,-51.69,25.1,342,48.2,6.84,USDZAR=X,5118,2006-09-18,2026-05-25,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,USDZAR=X,5118,2006-09-18,2026-05-25,True
buy_and_hold,3033.67,18.48,16.23,1.126,-34.93,54.9,1,0.0,0.02,USDTRY=X,5118,2006-09-15,2026-05-22,True
legacy,1110.31,13.06,16.25,0.836,-34.93,55.4,72,0.0,2.86,USDTRY=X,5118,2006-09-15,2026-05-22,True
flat_range,1107.91,13.05,16.0,0.847,-36.72,50.6,142,9.7,2.86,USDTRY=X,5118,2006-09-15,2026-05-22,True
r2_only,134.75,4.29,7.16,0.623,-19.65,31.1,210,44.7,4.2,USDTRY=X,5118,2006-09-15,2026-05-22,True
random_walk,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,USDTRY=X,5118,2006-09-15,2026-05-22,True
