ticker,split,exposure_type,oos_design,test_period,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,turnover_reduction_pct,no_change_max_dd_hedged,regime_based_max_dd_hedged,no_change_wins_cost_adj,no_change_wins_turnover,no_change_dd_not_worse
USDMXN=X,split_1,us_entity_long_mxn,fixed_split,2019-01-01..2021-12-31,8.682,8.451,1.6,11.8,86.44,-11.556,-8.738,True,True,False
USDMXN=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,8.682,8.451,1.6,11.8,86.44,-11.556,-8.738,True,True,False
USDMXN=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,8.683,8.448,1.6,11.8,86.44,-8.047,-9.551,True,True,True
USDMXN=X,split_2,us_entity_long_mxn,fixed_split,2022-01-01..2024-12-31,7.211,7.084,5.0,13.4,62.69,-8.414,-10.029,True,True,True
USDMXN=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,7.211,7.084,5.0,13.4,62.69,-8.414,-10.029,True,True,True
USDMXN=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,7.212,7.084,5.0,13.4,62.69,-8.873,-9.429,True,True,True
USDMXN=X,split_3,us_entity_long_mxn,fixed_split,2025-01-01..2026-12-31,6.092,5.774,0.6,4.2,85.71,-2.229,-2.025,True,True,False
USDMXN=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,6.092,5.774,0.6,4.2,85.71,-2.229,-2.025,True,True,False
USDMXN=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,6.092,5.772,0.6,4.2,85.71,-6.476,-8.926,True,True,True
USDMXN=X,wf_0,us_entity_long_mxn,walk_forward,2006-09-14..2007-09-13,3.901,3.106,1.2,5.2,76.92,-1.739,-2.246,True,True,True
USDMXN=X,wf_0,receiver_currency_exposure,walk_forward,2006-09-14..2007-09-13,3.901,3.106,1.2,5.2,76.92,-1.739,-2.246,True,True,True
USDMXN=X,wf_0,usd_liability_exposure,walk_forward,2006-09-14..2007-09-13,3.9,3.106,1.2,5.2,76.92,-1.401,-2.188,True,True,True
USDMXN=X,wf_1,us_entity_long_mxn,walk_forward,2007-09-14..2008-09-13,3.512,3.204,1.4,4.4,68.18,-2.835,-2.595,True,True,False
USDMXN=X,wf_1,receiver_currency_exposure,walk_forward,2007-09-14..2008-09-13,3.512,3.204,1.4,4.4,68.18,-2.835,-2.595,True,True,False
USDMXN=X,wf_1,usd_liability_exposure,walk_forward,2007-09-14..2008-09-13,3.511,3.202,1.4,4.4,68.18,-3.901,-4.374,True,True,True
USDMXN=X,wf_2,us_entity_long_mxn,walk_forward,2008-09-14..2009-09-13,13.998,15.756,0.5,2.9,82.76,-14.848,-11.304,False,True,False
USDMXN=X,wf_2,receiver_currency_exposure,walk_forward,2008-09-14..2009-09-13,13.998,15.756,0.5,2.9,82.76,-14.848,-11.304,False,True,False
USDMXN=X,wf_2,usd_liability_exposure,walk_forward,2008-09-14..2009-09-13,13.998,15.754,0.5,2.9,82.76,-6.734,-5.341,False,True,False
USDMXN=X,wf_3,us_entity_long_mxn,walk_forward,2009-09-14..2010-09-13,7.333,6.446,0.6,4.8,87.5,-2.958,-3.852,True,True,True
