corridor_id,policy_name,exposure_type,total_return_proxy,unhedged_volatility,hedged_volatility,volatility_reduction,max_drawdown_unhedged,max_drawdown_hedged,hedge_turnover,total_hedge_cost,average_hedge_ratio,number_of_hedge_changes,cost_adjusted_risk_reduction,regret_proxy,status,ticker,split,oos_design,test_period,test_bars,sample,warmup_start
USDMXN=X,half_hedged,us_entity_long_mxn,-4.223,13.84,6.92,6.92,-26.924,-14.392,0.0,0.0,0.5,0,6.92,4.678,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,us_entity_long_mxn,-1.96,13.84,3.46,10.38,-26.924,-7.443,0.0,0.0,0.75,0,10.38,2.339,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,us_entity_long_mxn,1.313,13.84,5.153,8.687,-26.924,-8.738,11.8,0.236,0.576,49,8.451,3.661,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,us_entity_long_mxn,-4.018,13.84,5.125,8.714,-26.924,-11.556,1.6,0.032,0.672,16,8.682,3.247,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,us_entity_long_mxn,-0.955,13.84,5.737,8.102,-26.924,-9.236,4.8,0.096,0.487,16,8.006,4.255,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,receiver_currency_exposure,-4.223,13.84,6.92,6.92,-26.924,-14.392,0.0,0.0,0.5,0,6.92,4.678,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,receiver_currency_exposure,-1.96,13.84,3.46,10.38,-26.924,-7.443,0.0,0.0,0.75,0,10.38,2.339,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,receiver_currency_exposure,1.313,13.84,5.153,8.687,-26.924,-8.738,11.8,0.236,0.576,49,8.451,3.661,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,receiver_currency_exposure,-4.018,13.84,5.125,8.714,-26.924,-11.556,1.6,0.032,0.672,16,8.682,3.247,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,receiver_currency_exposure,-0.955,13.84,5.737,8.102,-26.924,-9.236,4.8,0.096,0.487,16,8.006,4.255,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,usd_liability_exposure,2.937,13.84,6.92,6.92,-21.756,-11.247,0.0,0.0,0.5,0,6.92,4.678,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,mostly_hedged,usd_liability_exposure,1.638,13.84,3.46,10.38,-21.756,-5.712,0.0,0.0,0.75,0,10.38,2.339,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,regime_based,usd_liability_exposure,-2.532,13.84,5.155,8.684,-21.756,-9.551,11.8,0.236,0.576,49,8.448,3.664,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,no_change_in_range,usd_liability_exposure,3.312,13.84,5.125,8.715,-21.756,-8.047,1.6,0.032,0.672,16,8.683,3.246,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,volatility_triggered,usd_liability_exposure,-0.207,13.84,5.735,8.104,-21.756,-10.016,4.8,0.096,0.487,16,8.008,4.254,ok,USDMXN=X,split_1,fixed_split,2019-01-01..2021-12-31,748,test,2010-01-01
USDMXN=X,half_hedged,us_entity_long_mxn,-2.301,11.62,5.81,5.81,-22.971,-12.056,0.0,0.0,0.5,0,5.81,4.325,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,us_entity_long_mxn,-1.033,11.62,2.905,8.715,-22.971,-6.174,0.0,0.0,0.75,0,8.715,2.163,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
