country,payment_system,rail_type,settlement_lag_days,finality_lag_hours,availability_lag_hours,settlement_value_usd,value_in_transit_usd,failure_rate,return_rate,chargeback_rate,mock_data_flag,data_quality_score,source_id,methodology_version,settlement_velocity,payment_turnover_ratio,prefunding_ratio,liquidity_buffer_ratio,avg_settlement_usd,legal_finality_score,operational_finality_score,reversibility_risk_score,reconciliation_quality_score,digital_payment_usage_pct,account_ownership_pct,cash_dependency_proxy,data_quality_grade
Brazil,Remittance corridor (United States→Brazil),bank_remittance,2.0,56.0,52.0,1000000.0,100000.0,0.05,0.0056985289012612,0.0184975481687688,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,0.5,3.6166299880108714e-06,,,,,,,,0.85,0.95,0.1,Demo only
Brazil,STR,rtgs,0.02,2.48,1.48,110000000000.0,11000000000.0,0.0006,0.0002399999999999,0.0001199999999999,False,88.0,bis_cpmi,settlement-lab-credible-1.0,50.0,0.3978292986811959,0.1464,0.02196,267857142.85714284,92.0,90.0,15.0,83.0,0.85,0.95,0.1,Demo only
Colombia,CENIT,rtgs,0.02,2.48,1.48,18000000000.0,1800000000.0,0.0008,0.00032,0.00016,False,88.0,bis_cpmi,settlement-lab-credible-1.0,50.0,0.06509933978419569,0.1488,0.022319999999999996,89285714.28571428,91.0,88.0,16.0,81.0,0.85,0.95,0.1,Demo only
Colombia,Remittance corridor (United States→Colombia),remittance,2.0,56.0,52.0,1000000.0,100000.0,0.049514379703683,0.0048771569555524,0.0166285949259207,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,0.5,3.6166299880108714e-06,,,,64.0,61.0,47.0,64.0,0.85,0.95,0.1,Demo only
Dominican Republic,Remittance corridor (United States→Dominican Republic),remittance,1.0,32.0,28.0,1000000.0,100000.0,0.0360313856399044,0.0031547078459856,0.0127578464099761,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,,,,,,,,Demo only
El Salvador,Remittance corridor (United States→El Salvador),remittance,1.0,32.0,28.0,1000000.0,100000.0,0.0312432282998278,0.0031864842449741,0.0103108070749569,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,,,,,,,,Demo only
Euro Area,TARGET2,rtgs,0.02,2.48,1.48,1700000000000.0,170000000000.0,0.00015,5.9999999999999995e-05,2.9999999999999997e-05,False,88.0,bis_cpmi,settlement-lab-credible-1.0,50.0,6.148270979618482,0.12013872383026086,0.021611890614022362,931106547619.0476,99.0,98.0,5.0,94.0,,,,Demo only
Euro Area,TIPS,instant,0.002,2.048,1.048,8000000000.0,800000000.0,0.0003,0.0001199999999999,5.9999999999999995e-05,False,88.0,bis_cpmi,settlement-lab-credible-1.0,100.0,0.028933039904086973,0.06,0.0108,9180000000.0,97.0,96.0,10.0,90.0,,,,Demo only
Guatemala,Remittance corridor (United States→Guatemala),remittance,1.0,32.0,28.0,1000000.0,100000.0,0.05,0.0055112381097032,0.0166853968495055,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,,,,,,,,Demo only
India,RTGS (IN),rtgs,0.02,2.48,1.48,250000000000.0,25000000000.0,0.0004,0.00016,8e-05,False,88.0,bis_cpmi,settlement-lab-credible-1.0,50.0,0.9041574970027179,0.1456,0.02184,327380952.38095236,94.0,90.0,12.0,85.0,0.85,0.95,0.1,Demo only
India,Remittance corridor (United States→India),bank_remittance,1.0,32.0,28.0,1000000.0,100000.0,0.035587581116492,0.0023381371674737,0.013896895279123,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,,,,,0.85,0.95,0.1,Demo only
India,Remittance corridor (United States→India),remittance,1.0,32.0,28.0,1000000.0,100000.0,0.0399532627563772,0.0019429894134565,0.0167383156890943,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,67.0,64.0,44.0,67.0,0.85,0.95,0.1,Demo only
India,UPI,instant,0.004,2.096,1.096,120000000000.0,12000000000.0,0.0008,0.00032,0.00016,False,88.0,bis_cpmi,settlement-lab-credible-1.0,100.0,0.4339955985613046,,,,88.0,85.0,18.0,82.0,0.85,0.95,0.1,Demo only
Mexico,Remittance corridor (United States→Mexico),bank_remittance,1.0,32.0,28.0,1000000.0,100000.0,0.0359054528404432,0.0038858179260664,0.0114763632101108,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,,,,,0.85,0.95,0.1,Demo only
Mexico,Remittance corridor (United States→Mexico),remittance,1.0,32.0,28.0,1000000.0,100000.0,0.0453333319087036,0.0052999997863055,0.0138333329771759,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,68.0,65.0,42.0,68.0,0.85,0.95,0.1,Demo only
Mexico,SPEI,rtgs,0.02,2.48,1.48,80000000000.0,8000000000.0,0.0005,0.0002,0.0001,False,88.0,bis_cpmi,settlement-lab-credible-1.0,50.0,0.2893303990408697,0.1452,0.021779999999999997,357142857.14285713,93.0,91.0,14.0,84.0,0.85,0.95,0.1,Demo only
Nigeria,NIBSS Instant Payment,instant,0.008,2.192,1.192,15000000000.0,1500000000.0,0.0015,0.0006,0.0003,False,88.0,bis_cpmi,settlement-lab-credible-1.0,100.0,0.054249449820163075,0.1492,0.02238,59523809.52380952,85.0,80.0,22.0,75.0,0.85,0.95,0.1,Demo only
Nigeria,Remittance corridor (Germany→Nigeria),bank_remittance,2.0,56.0,52.0,1000000.0,100000.0,0.05,0.0044405791736709,0.0184009652894515,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,0.5,3.6166299880108714e-06,,,,,,,,0.85,0.95,0.1,Demo only
Pakistan,Remittance corridor (United Arab Emirates→Pakistan),remittance,1.0,32.0,28.0,1000000.0,100000.0,0.0328031343870314,0.0025204701580547,0.0122007835967578,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,,,,,0.85,0.95,0.1,Demo only
Philippines,PhilPaSS,rtgs,0.02,2.48,1.48,25000000000.0,2500000000.0,0.0007,0.00028,0.00014,False,88.0,bis_cpmi,settlement-lab-credible-1.0,50.0,0.09041574970027179,0.1484,0.022260000000000002,119047619.04761904,90.0,87.0,18.0,80.0,0.85,0.95,0.1,Demo only
Philippines,Remittance corridor (United States→Philippines),bank_remittance,1.0,32.0,28.0,1000000.0,100000.0,0.0379405415423503,0.0028410812313525,0.0142351353855876,False,88.0,world_bank_rpw,settlement-lab-credible-1.0,1.0,3.6166299880108714e-06,,,,,,,,0.85,0.95,0.1,Demo only
