country,payment_system,rail_type,legal_finality_score,operational_finality_score,funds_availability_score,reversibility_risk_score,reconciliation_quality_score,settlement_failure_risk_score,finality_lag_hours,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,observed_vs_estimated_flag,official_vs_manual_flag,mock_data_flag,source_id,credibility_tier,data_quality_score,data_quality_grade,missing_data_pct,imputation_flag,outlier_flag,unit_of_measure,currency,time_zone,date_granularity,manual_assumption_flag,confidence_score,finality_quality_index,settlement_speed_score,low_failure_risk_score,low_reversibility_risk_score,interpretation,limitations,entity,entity_type
United States,card network,card,62.04844855468588,60.20939224736698,90.0,21.0,66.36172361938421,6.1546664543766765,24.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,77.61180426454298,95.0,93.84533354562332,79.0,Usable but delayed (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",United States | card network,rail
United States,ACH/batch payment,ach,65.91663302253575,62.06646490106862,80.0,20.5,87.32050191855977,12.95839161215989,48.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,77.37950737030744,90.0,87.04160838784011,79.5,Usable but delayed (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",United States | ACH/batch payment,rail
United States,RTGS/wire,rtgs,99.0982194146319,92.73198374566356,99.6,20.1,77.68350325740366,22.95050568599609,0.96,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,92.08274120191668,99.8,77.04949431400391,79.9,High finality quality (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",United States | RTGS/wire,rail
United States,remittance operator,remittance,60.684531605910735,64.4860724502597,70.0,28.0,91.34016535967304,8.668017268869757,72.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,74.02703199780143,85.0,91.33198273113024,72.0,Usable but delayed (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",United States | remittance operator,rail
United States,mobile money,mobile,64.68242650037121,51.3506587660982,95.0,23.0,60.27996738548919,17.34024872048999,12.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,76.2580559814889,97.5,82.65975127951,77.0,Usable but delayed (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",United States | mobile money,rail
United States,tokenized settlement placeholder,tokenized,61.02660391468012,62.28522583783991,99.8,22.0,94.3242923747293,11.932010214658746,0.48,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,82.53233287461906,99.9,88.06798978534125,78.0,Usable but delayed (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",United States | tokenized settlement placeholder,rail
Mexico,card network,card,56.912001554302805,62.916384053249494,90.0,21.0,94.53582676240683,10.52049242570511,24.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,79.37139135251817,95.0,89.47950757429489,79.0,Usable but delayed (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",Mexico | card network,rail
Mexico,ACH/batch payment,ach,73.50082797578322,68.2743668190016,80.0,20.5,63.64289778742699,10.892485300591405,48.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,77.66636186669045,90.0,89.1075146994086,79.5,Usable but delayed (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",Mexico | ACH/batch payment,rail
Mexico,RTGS/wire,rtgs,99.46412788879971,94.70982232170837,99.6,20.1,69.88120614966633,12.75940405743946,0.96,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,92.69147913523888,99.8,87.24059594256055,79.9,High finality quality (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",Mexico | RTGS/wire,rail
Mexico,remittance operator,remittance,57.94864133580459,55.09839305538302,70.0,28.0,65.08989503467629,21.31479402419714,72.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1,68.1819973265163,85.0,78.68520597580286,72.0,Uncertain finality (estimated),"FQI combines legal, operational, and availability dimensions. Some components may rely on manual assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",Mexico | remittance operator,rail
