entity,scenario_id,pre_shock_score,post_shock_score,delta_score,post_regime,drivers,interpretation
Brazil | ACH/batch payment,fx_volatility_shock,49.83312581713554,51.0,1.1668741828644613,stressed,fx_volatility,"Under fx_volatility_shock, fragility score changes by 1.2 points (estimated)."
Brazil | ACH/batch payment,settlement_bank_outage,49.83312581713554,34.0,-15.833125817135539,crisis,elevated_settlement_lag; operational_incident,"Under settlement_bank_outage, fragility score changes by -15.8 points (estimated)."
Brazil | ACH/batch payment,liquidity_buffer_reduction,49.83312581713554,56.0,6.166874182864461,stressed,low_liquidity_buffer,"Under liquidity_buffer_reduction, fragility score changes by 6.2 points (estimated)."
Brazil | ACH/batch payment,cross_border_disruption,49.83312581713554,46.0,-3.8331258171355387,fragile,elevated_settlement_lag; fx_volatility,"Under cross_border_disruption, fragility score changes by -3.8 points (estimated)."
Brazil | ACH/batch payment,interest_rate_shock,49.83312581713554,57.0,7.166874182864461,stressed,none,"Under interest_rate_shock, fragility score changes by 7.2 points (estimated)."
Brazil | ACH/batch payment,failed_payment_spike,49.83312581713554,45.400000000000006,-4.433125817135533,fragile,elevated_settlement_lag; rising_failure_rate,"Under failed_payment_spike, fragility score changes by -4.4 points (estimated)."
Brazil | RTGS/wire,fx_volatility_shock,69.01312581713555,51.0,-18.013125817135546,stressed,fx_volatility,"Under fx_volatility_shock, fragility score changes by -18.0 points (estimated)."
Brazil | RTGS/wire,settlement_bank_outage,69.01312581713555,34.0,-35.013125817135546,crisis,elevated_settlement_lag; operational_incident,"Under settlement_bank_outage, fragility score changes by -35.0 points (estimated)."
Brazil | RTGS/wire,liquidity_buffer_reduction,69.01312581713555,56.0,-13.013125817135546,stressed,low_liquidity_buffer,"Under liquidity_buffer_reduction, fragility score changes by -13.0 points (estimated)."
Brazil | RTGS/wire,cross_border_disruption,69.01312581713555,46.0,-23.013125817135546,fragile,elevated_settlement_lag; fx_volatility,"Under cross_border_disruption, fragility score changes by -23.0 points (estimated)."
Brazil | RTGS/wire,interest_rate_shock,69.01312581713555,57.0,-12.013125817135546,stressed,none,"Under interest_rate_shock, fragility score changes by -12.0 points (estimated)."
Brazil | RTGS/wire,failed_payment_spike,69.01312581713555,45.400000000000006,-23.61312581713554,fragile,elevated_settlement_lag; rising_failure_rate,"Under failed_payment_spike, fragility score changes by -23.6 points (estimated)."
Brazil | card network,fx_volatility_shock,52.83312581713554,51.0,-1.8331258171355387,stressed,fx_volatility,"Under fx_volatility_shock, fragility score changes by -1.8 points (estimated)."
Brazil | card network,settlement_bank_outage,52.83312581713554,34.0,-18.83312581713554,crisis,elevated_settlement_lag; operational_incident,"Under settlement_bank_outage, fragility score changes by -18.8 points (estimated)."
Brazil | card network,liquidity_buffer_reduction,52.83312581713554,56.0,3.1668741828644613,stressed,low_liquidity_buffer,"Under liquidity_buffer_reduction, fragility score changes by 3.2 points (estimated)."
Brazil | card network,cross_border_disruption,52.83312581713554,46.0,-6.833125817135539,fragile,elevated_settlement_lag; fx_volatility,"Under cross_border_disruption, fragility score changes by -6.8 points (estimated)."
Brazil | card network,interest_rate_shock,52.83312581713554,57.0,4.166874182864461,stressed,none,"Under interest_rate_shock, fragility score changes by 4.2 points (estimated)."
Brazil | card network,failed_payment_spike,52.83312581713554,45.400000000000006,-7.433125817135533,fragile,elevated_settlement_lag; rising_failure_rate,"Under failed_payment_spike, fragility score changes by -7.4 points (estimated)."
Brazil | mobile money,fx_volatility_shock,46.83312581713554,51.0,4.166874182864461,stressed,fx_volatility,"Under fx_volatility_shock, fragility score changes by 4.2 points (estimated)."
