country,payment_system,rail_type,legal_finality_score,operational_finality_score,funds_availability_score,reversibility_risk_score,reconciliation_quality_score,settlement_failure_risk_score,finality_lag_hours,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,observed_vs_estimated_flag,official_vs_manual_flag,mock_data_flag,source_id,credibility_tier,data_quality_score,data_quality_grade,missing_data_pct,imputation_flag,outlier_flag,unit_of_measure,currency,time_zone,date_granularity,manual_assumption_flag,confidence_score
United States,card network,card,61.6937837608143,53.41209650083709,90.0,21.0,93.1785139975022,27.440477546720327,24.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
United States,ACH/batch payment,ach,69.80660041152733,66.14680911609345,80.0,20.5,89.9414993554436,5.239966077919335,48.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
United States,RTGS/wire,rtgs,95.80373854244557,89.1525259822485,99.6,20.1,72.0221896441191,26.65508183345555,0.96,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
United States,remittance operator,remittance,59.22235255037354,59.799501124430414,70.0,28.0,74.67571190364008,18.036337136235925,72.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
United States,mobile money,mobile,58.071764498131316,60.911877609360545,95.0,23.0,64.56826279667546,7.004015777813736,12.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
United States,tokenized settlement placeholder,tokenized,61.06188958361876,57.582995390935785,99.8,22.0,76.438337539846,17.864558702881926,0.48,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
Mexico,card network,card,61.1870488576145,51.604885558609624,90.0,21.0,73.09222641694627,11.290246783025752,24.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
Mexico,ACH/batch payment,ach,73.46504327263798,64.24274080984596,80.0,20.5,66.2000878825507,15.029561880227583,48.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
Mexico,RTGS/wire,rtgs,94.80809006938613,88.48966083786902,99.6,20.1,60.74597462733885,23.221205728568197,0.96,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
Mexico,remittance operator,remittance,55.2119690835534,64.85836084563476,70.0,28.0,72.54645147613081,20.04526180515075,72.0,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,USD,UTC,daily,True,0.1
