date,institution_type,payment_system,currency,average_daily_settlement_value_usd,peak_daily_settlement_value_usd,prefunding_required_usd,collateral_required_usd,settlement_account_balance_usd,intraday_credit_used_usd,liquidity_buffer_usd,cost_of_capital_pct,interest_rate_pct,opportunity_cost_usd,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,observed_vs_estimated_flag,official_vs_manual_flag,mock_data_flag,source_id,credibility_tier,data_quality_score,data_quality_grade,missing_data_pct,imputation_flag,outlier_flag,unit_of_measure,time_zone,date_granularity,confidence_score,required_liquidity_usd,liquidity_opportunity_cost_usd,intraday_credit_cost_usd,liquidity_burden_ratio,liquidity_cost_per_100,operational_liquidity_burden_score,interpretation,limitations,entity,entity_type,country
2024-06-01,settlement_bank,card network,USD,21991889.86149453,30788645.80609234,2274296.348201483,682288.9044604449,1137148.1741007415,2199188.986149453,454859.26964029664,0.05,0.045,311.5474449591073,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,4548592.696402966,227429.63482014832,301.2587652259525,0.20683046000367028,1.0341523000183515,88.62432469979814,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",card network,payment_system,
2024-06-01,settlement_bank,ACH/batch payment,USD,10265569.333304796,14371797.066626715,1948652.9763787102,584595.892913613,974326.4881893551,1026556.9333304797,389730.59527574206,0.05,0.045,266.9387638874946,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,3897305.9527574205,194865.29763787103,140.62423744253147,0.37964830066592714,1.8982415033296358,79.11934346337401,High trapped liquidity,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",ACH/batch payment,payment_system,
2024-06-01,settlement_bank,RTGS/wire,USD,15519970.572503446,21727958.801504824,3144982.7574123424,943494.8272237027,1572491.3787061712,1551997.0572503447,628996.5514824685,0.05,0.045,430.8195558099099,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,6289965.514824685,314498.27574123425,212.60233660963627,0.40528205162763287,2.026410258138165,77.7094871604802,High trapped liquidity,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",RTGS/wire,payment_system,
2024-06-01,settlement_bank,remittance operator,USD,20661542.463691786,28926159.4491685,2843761.790739324,853128.5372217972,1421880.895369662,2066154.2463691786,568752.3581478648,0.05,0.045,389.5564096903184,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,5687523.581478648,284376.1790739324,283.0348282697505,0.2752710060961444,1.3763550304807222,84.86009466471205,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",remittance operator,payment_system,
2024-06-01,settlement_bank,mobile money,USD,15937890.778420936,22313047.08978931,2230796.2156086545,669238.8646825963,1115398.1078043273,1593789.0778420938,446159.2431217309,0.05,0.045,305.5885226861171,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,4461592.431217309,223079.62156086546,218.32727093727314,0.2799361906318288,1.3996809531591439,84.60350951524941,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",mobile money,payment_system,
2024-06-01,settlement_bank,tokenized settlement placeholder,USD,12275859.720578859,17186203.608810402,1398743.6006344422,419623.08019033266,699371.8003172211,1227585.972057886,279748.7201268884,0.05,0.045,191.608712415677,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,2797487.201268884,139874.3600634442,168.1624619257378,0.22788523695650137,1.139426184782507,87.46631196739243,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",tokenized settlement placeholder,payment_system,
2024-06-01,settlement_bank,card network,USD,20237880.333186124,28333032.46646057,3499143.7723305486,1049743.1316991646,1749571.8861652743,2023788.0333186125,699828.7544661098,0.05,0.045,479.3347633329519,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,6998287.544661097,349914.3772330549,277.23123744090583,0.3458014095075604,1.7290070475378019,80.98092247708418,High trapped liquidity,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",card network,payment_system,
2024-06-01,settlement_bank,ACH/batch payment,USD,56976443.41912137,79767020.78676991,7359169.023422389,2207750.707026717,3679584.5117111946,5697644.341912137,1471833.8046844779,0.05,0.045,1008.1053456742999,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,14718338.04684478,735916.902342239,780.499224919471,0.25832321506233724,1.2916160753116863,85.79222317157145,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",ACH/batch payment,payment_system,
2024-06-01,settlement_bank,RTGS/wire,USD,41461109.39329342,58045553.15061078,3015117.880530846,904535.3641592538,1507558.940265423,4146110.939329342,603023.5761061691,0.05,0.045,413.02984664806104,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,6030235.761061692,301511.7880530846,567.9604026478551,0.14544318396933967,0.7272159198466983,92.00062488168632,Efficient liquidity (estimated),"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",RTGS/wire,payment_system,
2024-06-01,settlement_bank,remittance operator,USD,25176340.456086867,35246876.63852161,5807041.854139012,1742112.5562417037,2903520.927069506,2517634.0456086867,1161408.3708278025,0.05,0.045,795.4851854984948,Synthetic Demo Data,N/A,Settlement Lab generator,,2026-05-31,,annual,Do not use for research conclusions.,,n/a,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,30,Demo only,0.0,False,False,USD,UTC,daily,0.1,11614083.708278023,580704.1854139011,344.881376110779,0.46130944759567283,2.3065472379783643,74.627980382238,High trapped liquidity,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",remittance operator,payment_system,
