date,period,country,region,payment_system,rail_type,payment_type,currency,transaction_count,transaction_value_usd,average_transaction_value_usd,settlement_lag_hours,settlement_lag_days,availability_lag_hours,finality_lag_hours,reversal_window_hours,failure_rate,return_rate,chargeback_rate,source_id,bis_instrument_type,bis_title,bis_year,observed_vs_estimated_flag,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,official_vs_manual_flag,mock_data_flag,credibility_tier,confidence_score,data_quality_score,data_quality_grade
2024-12-31,2024,South Korea,Global,BIS CPMI — instant (total),instant,retail,USD,222968737457,111484368728767.12,500.0,0.096,0.004,2.096,4.096,24,0.001,0.0005,0.0005,bis_cpmi,A,"Korea - Value of cashless payments, total",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,South Korea,Global,"BIS CPMI — Korea - Value of cashless payments, credit transfers",ach,wholesale,USD,190046565276,95023282638356.16,500.0,48.0,2.0,50.0,52.0,24,0.003,0.0005,0.0005,bis_cpmi,B,"Korea - Value of cashless payments, credit transfers",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,Indonesia,Global,BIS CPMI — instant (total),instant,retail,USD,35793595780,17896797890410.957,500.0,0.096,0.004,2.096,4.096,24,0.001,0.0005,0.0005,bis_cpmi,A,"Indonesia - Value of cashless payments, total",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,China,Global,BIS CPMI — instant (total),instant,retail,USD,29458608328,14729304164383.562,500.0,0.096,0.004,2.096,4.096,24,0.001,0.0005,0.0005,bis_cpmi,A,"China - Value of cashless payments, total",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,China,Global,"BIS CPMI — China - Value of cashless payments, credit transfers",ach,wholesale,USD,27737882564,13868941282191.78,500.0,48.0,2.0,50.0,52.0,24,0.003,0.0005,0.0005,bis_cpmi,B,"China - Value of cashless payments, credit transfers",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,Indonesia,Global,"BIS CPMI — Indonesia - Value of cashless payments, domestic credit transfers",ach,wholesale,USD,25043444936,12521722468493.15,500.0,48.0,2.0,50.0,52.0,24,0.003,0.0005,0.0005,bis_cpmi,B,"Indonesia - Value of cashless payments, domestic credit transfers",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,Japan,Global,BIS CPMI — instant (total),instant,retail,USD,22316271473,11158135736986.3,500.0,0.096,0.004,2.096,4.096,24,0.001,0.0005,0.0005,bis_cpmi,A,"Japan - Value of cashless payments, total",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,South Korea,Global,"BIS CPMI — Korea - Value of cashless payments, cheques",cheque,wholesale,USD,21349735380,10674867690410.96,500.0,72.0,3.0,74.0,76.0,24,0.003,0.0005,0.0005,bis_cpmi,D,"Korea - Value of cashless payments, cheques",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,Japan,Global,"BIS CPMI — Japan - Value of cashless payments, domestic credit transfers",ach,wholesale,USD,21070778082,10535389041095.89,500.0,48.0,2.0,50.0,52.0,24,0.003,0.0005,0.0005,bis_cpmi,B,"Japan - Value of cashless payments, domestic credit transfers",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
2024-12-31,2024,Argentina,Global,BIS CPMI — instant (total),instant,retail,USD,11745003329,5872501664526.027,500.0,0.096,0.004,2.096,4.096,24,0.001,0.0005,0.0005,bis_cpmi,A,"Argentina - Value of cashless payments, total",2024.0,estimated,,,,,,,,,,fc6f54388672388b9ff8adf7c51925ae709564d7824a75fb4dd2e0b0aecf5372,,,,,,0.1,30,Demo only
