payment_network_fragility_score,fragility_regime,drivers,methodology_version,limitations,entity,entity_type,country,payment_system,data_quality_score,data_quality_grade,mock_data_flag,source_id
44.83312581713554,fragile,elevated_settlement_lag; rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, card and e-money payments with cards and",payment_system,Argentina,"BIS CPMI — Argentina - Value of cashless payments, card and e-money payments with cards and",30.0,Demo only,,bis_cpmi
32.83312581713554,crisis,elevated_settlement_lag; rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, cheques",payment_system,Argentina,"BIS CPMI — Argentina - Value of cashless payments, cheques",30.0,Demo only,,bis_cpmi
40.83312581713554,fragile,elevated_settlement_lag; rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, credit transfers",payment_system,Argentina,"BIS CPMI — Argentina - Value of cashless payments, credit transfers",30.0,Demo only,,bis_cpmi
40.83312581713554,fragile,elevated_settlement_lag; rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, direct debits",payment_system,Argentina,"BIS CPMI — Argentina - Value of cashless payments, direct debits",30.0,Demo only,,bis_cpmi
52.83312581713554,stressed,rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, fast payments, other",payment_system,Argentina,"BIS CPMI — Argentina - Value of cashless payments, fast payments, other",30.0,Demo only,,bis_cpmi
66.80112581713554,watchlist,none,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",Argentina | BIS CPMI — instant (total),payment_system,Argentina,BIS CPMI — instant (total),30.0,Demo only,,bis_cpmi
44.83312581713554,fragile,elevated_settlement_lag; rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, card and e-money payments with cards and",payment_system,Australia,"BIS CPMI — Australia - Value of cashless payments, card and e-money payments with cards and",30.0,Demo only,,bis_cpmi
32.83312581713554,crisis,elevated_settlement_lag; rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, cheques",payment_system,Australia,"BIS CPMI — Australia - Value of cashless payments, cheques",30.0,Demo only,,bis_cpmi
40.83312581713554,fragile,elevated_settlement_lag; rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, domestic credit transfers",payment_system,Australia,"BIS CPMI — Australia - Value of cashless payments, domestic credit transfers",30.0,Demo only,,bis_cpmi
40.83312581713554,fragile,elevated_settlement_lag; rising_failure_rate,settlement-lab-credible-1.0,"PNF is a composite stress indicator, not a real-time monitoring system. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, domestic direct debits",payment_system,Australia,"BIS CPMI — Australia - Value of cashless payments, domestic direct debits",30.0,Demo only,,bis_cpmi
