FREQ,REP_CTY,MEASURE,INSTRUMENT_TYPE,DIRECTION,TERMINAL_LOC,CARD_ISS_LOC,DEV_STATE_TECH,TERMINAL_TYPE,CARD_FCT,PAYMT_SPEED,ISSUER_OR_ONUS,UNIT_MULT,UNIT_MEASURE,TITLE,TIME_FORMAT,TABLE,DECIMALS,COMMENT_TS,COLLECTION,AVAILABILITY,OLD_TABLE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_PRE_BREAK,OBS_CONF,COMMENT_OBS
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2012,699.270,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2013,728.370,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2014,762.320,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2015,791.340,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2016,825.920,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2017,871.920,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2018,917.636,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2019,941.508,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2020,970.595,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2021,1023.771,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2022,1043.550,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2023,1082.848,A,,F,
A,CA,N,C,A,Z,Z,A,A,Z,A,A,6,373,"Canada - Volume of cashless payments, direct debits",,5,3,Includes transactions cleared by the Automated Clearing Settlement System (ACSS); excludes on-us transactions.,S,A,7,2024,1111.754,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2012,NaN,M,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2013,73793.85,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2014,85543.75,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2015,119561.239,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2016,154716.468,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2017,180669.327,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2018,210113.108,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2019,236881.628,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2020,255811.222,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2021,291274.958,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2022,334646.381,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2023,350265.864,A,,F,
A,ZA,V,N,D,I,I,O,A,A,A,A,6,ZAR,"South Africa - Value of withdrawals/deposits, cash deposits with cards issued inside the country at locations inside the country ",,6,3,,S,A,,2024,371575.109,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2012,13646000,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2013,14175000,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2014,14769000,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2015,13042442,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2016,14561300,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2017,16191150,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2018,18231584,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2019,18422477,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2020,18674162,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2021,21849539,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2022,30299481,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2023,30527070,A,,F,
A,SE,V,B,A,Z,Z,A,A,Z,A,A,6,SEK,"Sweden - Value of cashless payments, credit transfers",,6,3,,S,A,8,2024,31549730,A,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2012,NaN,L,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2013,NaN,L,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2014,NaN,L,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2015,NaN,L,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2016,NaN,L,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2017,NaN,L,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2018,NaN,L,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2019,NaN,L,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2020,57094.417,A,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2021,75091.23,A,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2022,226340.823,A,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2023,256689.269,A,,F,
A,BE,V,B,A,Z,Z,A,A,A,F,A,6,EUR,"Belgium - Value of cashless payments, fast payments, credit transfers",,6,3,,S,A,,2024,301703.209,A,,F,
A,BE,N,F,A,A,I,A,A,F,A,A,6,373,"Belgium - Volume of cashless payments, card and e-money payments with cards and e-money issued inside the country, by card with a credit function",,5,3,,S,A,7,2012,NaN,L,,F,
A,BE,N,F,A,A,I,A,A,F,A,A,6,373,"Belgium - Volume of cashless payments, card and e-money payments with cards and e-money issued inside the country, by card with a credit function",,5,3,,S,A,7,2013,NaN,L,,F,
A,BE,N,F,A,A,I,A,A,F,A,A,6,373,"Belgium - Volume of cashless payments, card and e-money payments with cards and e-money issued inside the country, by card with a credit function",,5,3,,S,A,7,2014,69.926,A,,F,
A,BE,N,F,A,A,I,A,A,F,A,A,6,373,"Belgium - Volume of cashless payments, card and e-money payments with cards and e-money issued inside the country, by card with a credit function",,5,3,,S,A,7,2015,72.096,A,,F,
A,BE,N,F,A,A,I,A,A,F,A,A,6,373,"Belgium - Volume of cashless payments, card and e-money payments with cards and e-money issued inside the country, by card with a credit function",,5,3,,S,A,7,2016,78.646,A,,F,
A,BE,N,F,A,A,I,A,A,F,A,A,6,373,"Belgium - Volume of cashless payments, card and e-money payments with cards and e-money issued inside the country, by card with a credit function",,5,3,,S,A,7,2017,87.620,A,,F,
