check_id,rank_stability_spearman,robust,notes
observed_official_data_only,1.0,True,"Restrict to non-mock, observed rows."
exclude_manual_assumptions,1.0,True,Exclude manual assumption rows.
exclude_dollarization_model,1.0,True,SFQI ranking without dollarization entities.
exclude_trust_legal_components,0.893,True,Drop legal/freeze/interoperability weights.
ledger_vs_economic_finality,-0.036,False,Compare ledger vs economic finality rankings.
stablecoin_vsi_vs_traditional_vsi,0.709,False,Compare stablecoin vs traditional VSI corridor rankings.
high_quality_rows_only,1.0,True,data_quality_score ≥ 70.
tier1_tier2_sources_only,1.0,True,Exclude mock and manual source IDs.
winsorized_extreme_depeg_events,0.893,True,Winsorize peg deviation at 95th percentile.
separate_by_chain_,1.0,True,Ranking within  network only.
compliance_drag_rank_stability,,False,Compliance drag index on non-mock subset.
swc_core_vs_extended,0.952,True,Compare SWC core vs extended specifications.
