date,corridor,sender_country,receiver_country,traditional_fee_pct,traditional_fx_margin_pct,traditional_transfer_speed_days,stablecoin,stablecoin_onramp_fee_pct,stablecoin_chain_fee_pct,stablecoin_offramp_fee_pct,stablecoin_fx_spread_pct,stablecoin_effective_finality_hours,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,observed_vs_estimated_flag,official_vs_manual_flag,mock_data_flag,source_id,credibility_tier,blockchain_network,jurisdiction,data_quality_score,data_quality_grade,confidence_score,stablecoin_vsi,traditional_vsi,stablecoin_advantage_score,value_saved_or_lost_per_100,total_stablecoin_loss_pct,total_traditional_loss_pct,real_usable_value_delivered_pct,onramp_fee_loss_pct,stablecoin_spread_loss_pct,chain_fee_loss_pct,bridge_fee_loss_pct,offramp_fee_loss_pct,local_fx_spread_loss_pct,compliance_delay_cost_pct,redemption_friction_loss_pct,depeg_risk_penalty_pct,inflation_erosion_pct,interpretation,sensitivity_case,limitations,entity,entity_type
2024-10-01,Germany→Nigeria,Germany,Nigeria,1.769091781837864,3.969091781837864,2.0,USDC,,,,,,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,manual,False,world_bank_rpw,1,,,86,Research grade,0.86,100.0,50.0,100.0,50.0,,0.5,,,,,0.0,,0.005,,0.002,0.0005,,High stablecoin value survival (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",Germany→Nigeria,corridor
2024-10-01,United Arab Emirates→Pakistan,United Arab Emirates,Pakistan,0.7786825960054483,2.378682596005448,1.0,USDC,,,,,,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,manual,False,world_bank_rpw,1,,,86,Research grade,0.86,100.0,50.0,100.0,50.0,,0.5,,,,,0.0,,0.005,,0.002,0.0005,,High stablecoin value survival (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United Arab Emirates→Pakistan,corridor
2024-10-01,United States→Brazil,United States,Brazil,1.6766275711752334,3.476627571175233,2.0,USDT,0.9,0.03,1.8,0.8,18.0,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,world_bank_rpw,1,,,86,Research grade,0.86,50.0,50.0,50.0,0.0,0.5,0.5,0.5,0.9,0.8,0.03,0.0,1.8,0.005,0.00375,0.002,0.0005,8.219178082191781e-05,Stablecoin rail competitive with traditional (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United States→Brazil,corridor
2024-10-01,United States→Colombia,United States,Colombia,1.5104978515001524,3.210497851500151,2.0,USDT,1.1,0.04,1.6,0.7,14.0,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,world_bank_rpw,1,,,86,Research grade,0.86,50.0,50.0,50.0,0.0,0.5,0.5,0.5,1.1,0.7,0.04,0.0,1.6,0.005,0.002916666666666667,0.002,0.0005,6.392694063926941e-05,Stablecoin rail competitive with traditional (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United States→Colombia,corridor
2024-10-01,United States→Dominican Republic,United States,Dominican Republic,1.1541654469637674,2.654165446963767,1.0,USDC,,,,,,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,manual,False,world_bank_rpw,1,,,86,Research grade,0.86,100.0,50.0,100.0,50.0,,0.5,,,,,0.0,,0.005,,0.002,0.0005,,High stablecoin value survival (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United States→Dominican Republic,corridor
2024-10-01,United States→El Salvador,United States,El Salvador,0.988660081830424,1.988660081830424,0.0,USDC,,,,,,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,manual,False,world_bank_rpw,1,,,86,Research grade,0.86,100.0,50.0,100.0,50.0,,0.5,,,,,0.0,,0.005,,0.002,0.0005,,High stablecoin value survival (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United States→El Salvador,corridor
2024-10-01,United States→Guatemala,United States,Guatemala,1.398545480116275,2.898545480116276,1.0,USDC,,,,,,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,manual,False,world_bank_rpw,1,,,86,Research grade,0.86,100.0,50.0,100.0,50.0,,0.5,,,,,0.0,,0.005,,0.002,0.0005,,High stablecoin value survival (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United States→Guatemala,corridor
2024-10-01,United States→India,United States,India,0.920798355025102,3.2707983550251023,0.5,USDC,,,,,,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,manual,False,world_bank_rpw,1,,,86,Research grade,0.86,100.0,50.0,100.0,50.0,,0.5,,,,,0.0,,0.005,,0.002,0.0005,,High stablecoin value survival (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United States→India,corridor
2024-10-01,United States→Mexico,United States,Mexico,1.4542672897583797,2.4542672897583797,0.5,USDC,0.8,0.05,1.2,0.4,6.0,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,world_bank_rpw,1,,,86,Research grade,0.86,50.0,50.0,50.0,0.0,0.5,0.5,0.5,0.8,0.4,0.05,0.0,1.2,0.005,0.00125,0.002,0.0005,2.7397260273972603e-05,Stablecoin rail competitive with traditional (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United States→Mexico,corridor
2024-10-01,United States→Philippines,United States,Philippines,0.8882197466795351,2.788219746679536,1.0,USDC,1.0,0.08,1.5,0.6,12.0,World Bank Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,World Bank,,2026-06-01,,monthly,Baseline remittance costs vs stablecoin corridor comparisons.,data/raw/remittance_costs/rpw_remittance_comparison.csv,1265ee635d2423e0fe4480ed38b566b72a43aa3cccca47c9474e9235bd855967,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,world_bank_rpw,1,,,86,Research grade,0.86,50.0,50.0,50.0,0.0,0.5,0.5,0.5,1.0,0.6,0.08,0.0,1.5,0.005,0.0025,0.002,0.0005,5.479452054794521e-05,Stablecoin rail competitive with traditional (estimated),baseline,"Stablecoin VSI estimates value survival under stated fee, spread, and delay assumptions. Does not assume stablecoins are cheaper than traditional rails. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",United States→Philippines,corridor
